sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.53	12.25	15.0	18.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.82	12.0	15.0	19.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	17.59	15.0	17.0	20.75
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.58	12.25	15.0	18.0
col_ccp2_LN_bulk_2_1_top100.clonotypes.IGHA	.	cdr3-full	count	14.67	11.0	14.0	17.0
col_ccp2_LN_bulk_2_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.43	12.0	15.0	19.0
col_ccp2_LN_bulk_2_1_top100.clonotypes.IGH	.	cdr3-full	count	14.85	12.0	14.5	17.0
col_ccp2_LN_bulk_3_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.38	13.0	15.0	17.0
col_ccp2_LN_bulk_3_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.03	13.25	16.0	18.0
col_ccp2_LN_bulk_3_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.79	14.0	16.5	19.0
col_ccp2_LN_bulk_3_1_top100.clonotypes.IGH	.	cdr3-full	count	15.32	13.25	15.0	17.0
col_ccp2_LN_PCsort_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.97	14.0	16.0	18.0
col_ccp2_LN_PCsort_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.58	14.0	16.0	19.0
col_ccp2_LN_PCsort_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.09	14.0	16.0	18.0
col_ccp2_LN_PCsort_2_1_top100.clonotypes.IGHA	.	cdr3-full	count	14.99	11.25	15.0	17.0
col_ccp2_LN_PCsort_2_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.05	12.0	14.0	17.75
col_ccp2_LN_PCsort_2_1_top100.clonotypes.IGH	.	cdr3-full	count	14.86	11.25	15.0	17.0
col_ccp2_LN_PCsort_2_1_top82.clonotypes.IGHM	.	cdr3-full	count	16.634146	15.0	16.0	19.0
col_ccp2_LN_PCsort_3_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.9	13.25	16.0	19.0
col_ccp2_LN_PCsort_3_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.23	13.0	16.0	18.75
col_ccp2_LN_PCsort_3_1_top100.clonotypes.IGH	.	cdr3-full	count	16.6	14.0	16.0	19.0
col_ccp2_LN_PCsort_3_1_top82.clonotypes.IGHM	.	cdr3-full	count	17.5	14.0	17.0	20.0
col_ccp2_PBMC_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.11	12.0	15.0	17.0
col_ccp2_PBMC_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.7	13.0	15.0	18.75
col_ccp2_PBMC_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.96	14.0	15.5	19.0
col_ccp2_PBMC_bulk_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.1	12.0	15.0	17.0
col_ccp2_PBMC_PCsort_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.68	14.0	15.5	18.0
col_ccp2_PBMC_PCsort_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.27	13.0	17.0	19.0
col_ccp2_PBMC_PCsort_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.43	14.0	15.0	17.0
col_ccp2_PBMC_PCsort_1_1_top82.clonotypes.IGHM	.	cdr3-full	count	16.296297	14.0	16.0	19.0
col_ccp2_tum_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.7	14.0	16.0	19.0
col_ccp2_tum_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.51	14.0	17.0	22.0
col_ccp2_tum_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.44	14.0	16.0	18.0
col_ccp2_tum_bulk_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.71	14.0	16.0	19.0
col_ccp2_tum_bulk_1_2_top100.clonotypes.IGHA	.	cdr3-full	count	16.21	14.0	16.0	18.0
col_ccp2_tum_bulk_1_2_top100.clonotypes.IGHG	.	cdr3-full	count	17.06	14.0	16.0	21.0
col_ccp2_tum_bulk_1_2_top100.clonotypes.IGHM	.	cdr3-full	count	16.53	14.0	16.0	18.0
col_ccp2_tum_bulk_1_2_top100.clonotypes.IGH	.	cdr3-full	count	16.45	14.0	16.0	19.0
col_ccp2_tum_bulk_1_3_top100.clonotypes.IGHA	.	cdr3-full	count	15.72	13.0	15.0	18.0
col_ccp2_tum_bulk_1_3_top100.clonotypes.IGHG	.	cdr3-full	count	16.18	13.0	15.0	19.0
col_ccp2_tum_bulk_1_3_top100.clonotypes.IGHM	.	cdr3-full	count	16.66	14.0	16.0	19.0
col_ccp2_tum_bulk_1_3_top100.clonotypes.IGH	.	cdr3-full	count	15.68	13.0	15.0	18.0
col_ccp2_tum_PCsort_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.63	14.0	16.0	19.0
col_ccp2_tum_PCsort_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.35	14.0	18.0	20.75
col_ccp2_tum_PCsort_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.91	14.25	16.5	19.0
col_ccp2_tum_PCsort_1_1_top82.clonotypes.IGHM	.	cdr3-full	count	16.109756	14.0	16.0	18.0
col_ccp2_tum_PCsort_1_2_top100.clonotypes.IGHA	.	cdr3-full	count	16.73	14.0	16.5	19.0
col_ccp2_tum_PCsort_1_2_top100.clonotypes.IGHG	.	cdr3-full	count	17.11	15.0	17.0	19.0
col_ccp2_tum_PCsort_1_2_top100.clonotypes.IGH	.	cdr3-full	count	16.73	14.0	16.0	18.0
col_ccp2_tum_PCsort_1_2_top82.clonotypes.IGHM	.	cdr3-full	count	16.865854	15.0	16.0	18.0
col_ccp2_tum_PCsort_1_3_top100.clonotypes.IGHA	.	cdr3-full	count	16.36	14.0	16.0	18.0
col_ccp2_tum_PCsort_1_3_top100.clonotypes.IGHG	.	cdr3-full	count	16.86	14.0	16.0	19.0
col_ccp2_tum_PCsort_1_3_top100.clonotypes.IGH	.	cdr3-full	count	16.9	14.0	16.0	19.0
col_ccp2_tum_PCsort_1_3_top82.clonotypes.IGHM	.	cdr3-full	count	17.182926	15.0	16.0	19.0
col_ccp3_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.58	14.0	17.0	19.0
col_ccp3_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.94	14.0	17.0	20.0
col_ccp3_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.92	14.0	16.0	18.0
col_ccp3_LN_bulk_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.81	14.0	15.0	18.0
col_ccp3_LN_bulk_2_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.56	14.25	16.0	18.75
col_ccp3_LN_bulk_2_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.05	14.0	17.0	20.0
col_ccp3_LN_bulk_2_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.83	13.0	15.0	18.0
col_ccp3_LN_bulk_2_1_top100.clonotypes.IGH	.	cdr3-full	count	15.91	13.0	16.0	18.0
