sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.15979996	-0.084	0.16499999	0.43
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.28000003	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-2.9596703	-3.2042248	-2.9562001	-2.7393749
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	97.586006	85.850006	97.6	107.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.63019997	-1.335	-0.62	0.17999998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.24706	-0.12599999	0.23999998	0.608
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.29800007	0.0	0.2	0.6
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.35374	-0.671	-0.28599998	-0.0055000023
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.21163997	-0.4145	-0.22699998	0.06449999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.06	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.11194	-0.12599999	0.13100001	0.36049998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.06840002	-0.184	0.03000002	0.30150002
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.24160002	-0.4055	-0.211	-0.01199999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.3637401	-0.763	-0.388	-0.024000008
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.070679985	-0.20600002	0.051999997	0.338
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.3743999	-0.016499996	0.513	0.7425
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.0643	-0.1645	0.10700001	0.29000002
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.33400005	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.0448763	-3.2159	-2.9831	-2.7924747
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	99.65199	86.8	100.6	110.6
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.5626	-1.3749999	-0.73	0.12999994
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.27004	-0.0935	0.24299997	0.6864999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.21599999	0.0	0.2	0.55
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.27743998	-0.68	-0.302	0.1355
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.21429996	-0.45049998	-0.18599999	0.014000008
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	charge	-0.004	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.06792	-0.44700003	-0.12299998	0.30749997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.046940006	-0.279	-0.0050000045	0.15499997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.19480002	-0.43949997	-0.231	0.013499997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.25891998	-0.704	-0.23200002	0.06249999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.006720011	-0.28800002	-0.051	0.2685
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.42931995	0.04600001	0.493	0.809
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.103219986	-0.09399998	0.14500001	0.335
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	strength	0.3260001	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-2.987463	-3.2332249	-2.9404998	-2.6822252
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	volume	97.004036	85.4	96.3	108.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.5501999	-1.5250001	-0.72	0.16000003
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	0.19821998	-0.21049997	0.205	0.612
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	0.20600004	0.0	0.2	0.6
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.3025	-0.643	-0.27099997	0.005500012
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.19148007	-0.4295	-0.236	0.073
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	charge	-0.019999996	0.0	0.0	0.0
