sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.87416893	-0.33999997	1.25	2.06
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	1.4541954	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-14.942605	-16.0795	-14.899	-13.785999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	493.82794	439.0	491.0	534.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.235026	-6.4	-3.8	0.89999986
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	1.4144629	-0.56999993	1.1399997	3.3099997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	1.4217674	1.0	1.0	3.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.6967864	-3.42	-1.4299998	0.00999999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.116092	-2.15	-1.25	0.17999998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.29266316	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.8142948	-0.29000008	0.8000001	2.46
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.30325446	-0.95250005	0.07000005	1.5
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.3836796	-2.4	-1.1500001	-0.16999984
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.6021117	-3.66	-1.76	0.109999776
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.29315445	-1.0000001	0.26	1.35
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	1.8492497	-0.17000002	2.59	3.9100003
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.20976785	-1.2899998	0.41	1.4499999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	1.5979708	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-15.223983	-16.055	-14.926	-14.230125
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	490.81357	426.0	474.5	539.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.3981671	-6.5999994	-3.3000002	0.89999986
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	1.1997524	-0.34000015	1.0600001	3.3799999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.9384908	0.0	1.0	2.0
