sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-full	count	14.99	13.0	14.5	17.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-full	count	15.69	12.25	15.0	18.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-full	count	17.2	14.25	16.5	20.0
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-full	count	14.87	12.0	14.5	17.0
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-full	count	15.2	13.0	15.0	17.0
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-full	count	15.49	12.25	14.0	19.0
col_ccp2_LN_PCsort_top100.clonotypes.IGH	.	cdr3-full	count	15.4	13.0	15.0	17.0
col_ccp2_LN_PCsort_top54.clonotypes.IGHM	.	cdr3-full	count	17.962963	15.0	17.0	20.0
col_ccp2_PBMC_bulk_top100.clonotypes.IGHA	.	cdr3-full	count	15.11	12.0	15.0	17.0
col_ccp2_PBMC_bulk_top100.clonotypes.IGHG	.	cdr3-full	count	15.79	13.0	15.0	19.0
col_ccp2_PBMC_bulk_top100.clonotypes.IGHM	.	cdr3-full	count	15.96	14.0	15.5	19.0
col_ccp2_PBMC_bulk_top100.clonotypes.IGH	.	cdr3-full	count	15.1	12.0	15.0	17.0
col_ccp2_PBMC_PCsort_top100.clonotypes.IGHA	.	cdr3-full	count	15.68	14.0	15.5	18.0
col_ccp2_PBMC_PCsort_top100.clonotypes.IGHG	.	cdr3-full	count	16.22	13.0	16.5	19.0
col_ccp2_PBMC_PCsort_top100.clonotypes.IGH	.	cdr3-full	count	15.43	14.0	15.0	17.0
col_ccp2_PBMC_PCsort_top54.clonotypes.IGHM	.	cdr3-full	count	16.296297	14.0	16.0	19.0
col_ccp2_tum_bulk_top100.clonotypes.IGHA	.	cdr3-full	count	16.34	14.0	16.0	18.75
col_ccp2_tum_bulk_top100.clonotypes.IGHG	.	cdr3-full	count	16.91	13.0	16.5	21.0
col_ccp2_tum_bulk_top100.clonotypes.IGHM	.	cdr3-full	count	15.95	14.0	16.0	17.0
col_ccp2_tum_bulk_top100.clonotypes.IGH	.	cdr3-full	count	16.37	14.0	16.0	18.75
col_ccp2_tum_PCsort_top100.clonotypes.IGHA	.	cdr3-full	count	16.54	14.0	16.0	19.0
col_ccp2_tum_PCsort_top100.clonotypes.IGHG	.	cdr3-full	count	16.59	13.0	16.0	19.0
col_ccp2_tum_PCsort_top100.clonotypes.IGH	.	cdr3-full	count	16.64	14.0	16.0	19.0
col_ccp2_tum_PCsort_top54.clonotypes.IGHM	.	cdr3-full	count	16.592592	15.0	16.0	18.0
col_ccp3_LN_bulk_top100.clonotypes.IGHA	.	cdr3-full	count	16.85	14.25	17.0	19.0
col_ccp3_LN_bulk_top100.clonotypes.IGHG	.	cdr3-full	count	16.51	14.0	16.5	20.0
col_ccp3_LN_bulk_top100.clonotypes.IGHM	.	cdr3-full	count	15.75	14.0	15.0	18.75
col_ccp3_LN_bulk_top100.clonotypes.IGH	.	cdr3-full	count	15.87	13.25	16.5	19.0
col_ccp3_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-full	count	16.81	15.0	17.0	19.0
col_ccp3_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-full	count	16.08	14.0	16.0	18.0
col_ccp3_LN_PCsort_top100.clonotypes.IGHM	.	cdr3-full	count	15.3	14.0	15.0	18.0
col_ccp3_LN_PCsort_top100.clonotypes.IGH	.	cdr3-full	count	15.65	14.0	15.0	18.0
col_ccp3_PBMC_bulk_top100.clonotypes.IGHA	.	cdr3-full	count	15.24	13.0	15.0	17.0
col_ccp3_PBMC_bulk_top100.clonotypes.IGHG	.	cdr3-full	count	16.37	14.0	16.5	19.0
col_ccp3_PBMC_bulk_top100.clonotypes.IGHM	.	cdr3-full	count	15.62	13.0	15.0	18.0
col_ccp3_PBMC_bulk_top100.clonotypes.IGH	.	cdr3-full	count	15.58	14.0	15.0	18.0
