sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.12902002	-0.08899999	0.19999999	0.36699998
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.29599997	0.2	0.4	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-2.9970965	-3.224075	-3.0052	-2.8081
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	volume	99.67999	89.7	99.8	109.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.63659996	-1.375	-0.76	0.17499998
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.23341997	-0.1815	0.19600001	0.608
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.26000008	0.0	0.2	0.6
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.35449994	-0.72099996	-0.29699996	5.0000555E-4
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.20979998	-0.41	-0.24399999	-0.020499991
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.07199998	0.0	0.0	0.2
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.09284003	-0.118499994	0.14800002	0.38900003
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.05907999	-0.21150002	-0.009999999	0.31
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.28305992	-0.5755	-0.23500001	-0.04299999
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.29076	-0.66499996	-0.26700002	0.020499963
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.091639996	-0.171	0.051999997	0.3455
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.34933993	-0.019499997	0.397	0.80100006
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.039960004	-0.1555	0.08999999	0.29299998
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.33800012	0.2	0.4	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.078539	-3.2531753	-3.0499496	-2.8087249
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	volume	102.02999	89.4	102.600006	113.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.53299993	-1.38	-0.65000004	0.17999998
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.2473	-0.073	0.239	0.62
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.17799999	0.0	0.2	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.30212003	-0.7335	-0.29099995	0.098000005
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.23499994	-0.4445	-0.22600001	-0.032
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.032	0.0	0.0	0.2
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.05056	-0.40399998	-0.08399999	0.2745
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.034679998	-0.2975	-0.008000007	0.183
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.21641997	-0.4445	-0.229	-0.035500005
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.19344002	-0.58050007	-0.19600001	0.11400001
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	0.034239992	-0.277	0.026999999	0.325
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.34975997	0.031999994	0.431	0.7295
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.050940003	-0.13949999	0.114999995	0.29299998
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	strength	0.29200006	0.2	0.2	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-2.9252555	-3.1970754	-2.8911998	-2.65765
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	volume	96.06401	85.8	94.9	105.1
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.643	-1.4649999	-0.76	0.12000001
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	0.120159976	-0.39699998	0.17799997	0.5925
