sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.13987635	-0.09200001	0.252	0.364
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.2938196	0.2	0.4	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-3.0108106	-3.2335	-3.0388	-2.8004
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	volume	100.62708	93.2	101.4	109.4
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.627384	-1.04	-0.68	0.06000004
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.18692881	-0.24999997	0.16199999	0.478
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.24889532	0.2	0.2	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.37048987	-0.748	-0.286	-0.044000007
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.22854078	-0.38199997	-0.256	-0.042000007
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.0788159	0.0	0.0	0.2
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.17073192	-0.036000002	0.16600001	0.406
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.047066115	-0.176	-0.06399999	0.30000004
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.31193805	-0.61200005	-0.25599998	-0.09199999
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.26593167	-0.572	-0.20000005	-0.022000004
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.07510861	-0.16799998	0.048000015	0.27
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.31801194	-0.087999985	0.35	0.8120001
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.07023708	-0.08999997	0.103999995	0.338
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.32072282	0.2	0.4	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.0460978	-3.2268002	-2.9852	-2.8035
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	volume	102.93084	89.4	103.6	115.6
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.72488064	-1.42	-0.7600001	0.17999998
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.14511622	-0.298	0.20199998	0.62
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.22075042	0.0	0.2	0.6
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.24253234	-0.55799997	-0.12600002	0.14600001
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.25763887	-0.464	-0.268	-0.011999989
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.015236239	0.0	0.0	0.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.052522916	-0.40399998	-0.14199999	0.258
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.0149315335	-0.26	0.016000008	0.234
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.22835416	-0.50000006	-0.234	-0.03400001
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.14762448	-0.56600004	-0.07200001	0.324
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.0815217	-0.28800002	-0.16000001	0.132
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.36211208	0.051999997	0.478	0.74799997
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	-0.0086354	-0.18399999	-0.041999996	0.26
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	strength	0.27827692	0.2	0.2	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-2.9589934	-3.3516	-2.9378002	-2.6458
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	volume	98.55801	89.8	97.8	114.399994
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.55061024	-1.1000001	-0.52000004	0.12000003
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	-0.16564927	-0.96799994	0.017999988	0.29399997
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	0.31697905	0.2	0.2	0.6
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.18569279	-0.5819999	-0.302	0.284
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.18917157	-0.492	-0.186	0.066
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	charge	0.033740617	0.0	0.0	0.2
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.0021519298	-0.3	0.22600003	0.33
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.036628023	-0.3	-0.06799999	0.11200001
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.1217803	-0.33999997	-0.20600004	0.15
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf2	-0.3174237	-0.63600004	-0.33600003	0.08999999
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf3	-0.05534707	-0.26000002	0.11199999	0.17
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf1	0.4028431	0.13200001	0.48000002	0.64799994
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf10	0.11295639	-0.09200001	0.16	0.364
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	strength	0.2957927	0.2	0.2	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	mjenergy	-3.0221307	-3.2335	-3.0052	-2.8004
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	volume	101.808685	93.4	104.0	111.2
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.6699415	-1.3199999	-0.68	0.06000004
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf8	0.11002816	-0.374	-0.062000014	0.464
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	disorder	0.23636366	0.2	0.2	0.4
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf9	-0.30833054	-0.604	-0.28599995	-0.004000008
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf6	-0.23418462	-0.43	-0.31199998	-0.02199999
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	charge	0.05672343	0.0	0.0	0.2
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf7	0.14253245	-0.101999976	0.16600001	0.384
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf4	0.025527636	-0.20799999	-0.001999998	0.25
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf5	-0.286578	-0.544	-0.23600002	-0.07599999
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf2	-0.21951684	-0.518	-0.18199998	0.065999985
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf3	-0.003790157	-0.24200001	-0.035999995	0.19399999
col_ccp2_LN_bulk_top100.clonotypes.IGH	.	cdr3-center-5	kf1	0.29265496	-0.10399999	0.35	0.71800005
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.1630111	-0.09200001	0.272	0.38799995
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.28742218	0.2	0.2	0.4
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-2.9955242	-3.2335	-3.0052	-2.8004
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	volume	100.49959	90.8	103.6	108.2
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.7168513	-1.04	-0.76	0.039999984
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.25401604	-0.24999997	0.18600002	0.7679999
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.27757218	0.2	0.2	0.4
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.36573982	-0.778	-0.28599995	-0.037999988
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.23416717	-0.38399997	-0.25	-0.042000007
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.082447946	0.0	0.0	0.2
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.19295222	-0.101999976	0.204	0.47399998
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.07049822	-0.16399999	-0.06399999	0.274
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.32965618	-0.704	-0.25599998	-0.09799999
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.25659528	-0.604	-0.18199998	0.020000005
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.084204815	-0.146	0.051999997	0.27
col_ccp2_LN_PCsort_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.38149726	-0.034	0.55999994	0.862
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.073782206	-0.154	0.07999999	0.31
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.3102646	0.2	0.2	0.4
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.0492313	-3.2159	-2.9852	-2.8246999
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	volume	98.6448	85.2	98.4	110.6
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.43277618	-1.1	-0.40000004	0.22
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.13803199	-0.098000005	0.023999978	0.476
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.22075264	0.0	0.2	0.4
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.299658	-0.51199996	-0.308	-0.015999997
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.2945458	-0.556	-0.338	-0.025999993
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.036892597	0.0	0.0	0.2
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.0058595627	-0.348	0.06600001	0.28
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.01913448	-0.28000003	-0.001999998	0.17800002
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.21716486	-0.394	-0.18599999	-0.049999975
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.3361802	-0.89399993	-0.338	0.06000001
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.018357873	-0.28	-0.088	0.22199997
col_ccp2_LN_PCsort_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.27752376	-0.15999998	0.34600002	0.67999995
col_ccp2_LN_PCsort_top100.clonotypes.IGH	.	cdr3-center-5	kf10	0.12820217	-0.09200001	0.146	0.38799995
col_ccp2_LN_PCsort_top100.clonotypes.IGH	.	cdr3-center-5	strength	0.2803508	0.2	0.2	0.4
col_ccp2_LN_PCsort_top100.clonotypes.IGH	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_PCsort_top100.clonotypes.IGH	.	cdr3-center-5	mjenergy	-2.985381	-3.2335	-2.9852	-2.7984002
