sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.69939095	-0.46000004	1.26	1.8199999
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	strength	1.4692057	1.0	2.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-15.054205	-16.1675	-15.194	-14.002
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	volume	503.1296	466.0	507.0	547.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.1370335	-5.2	-3.4	0.3000002
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.9346534	-1.2499999	0.80999994	2.3899999
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	1.2444674	1.0	1.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.8524603	-3.74	-1.4300001	-0.22000003
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.142707	-1.9099998	-1.2800001	-0.21000004
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.39406416	0.0	0.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.85364264	-0.18	0.83000004	2.03
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.23533016	-0.88	-0.31999993	1.5000002
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.559646	-3.0600002	-1.28	-0.45999998
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.3296523	-2.8600001	-1.0000002	-0.110000014
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.37555164	-0.8399999	0.24000007	1.35
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	1.59009	-0.43999994	1.75	4.0600004
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.351185	-0.44999984	0.52	1.6899999
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	strength	1.6036174	1.0	2.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-15.2307	-16.134	-14.926	-14.0175
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	volume	514.64777	447.0	518.0	578.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-3.6243842	-7.1	-3.8000004	0.89999986
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.7255739	-1.49	1.0099999	3.1
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	1.1037707	0.0	1.0	3.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.2126638	-2.79	-0.63000005	0.7300001
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.2881794	-2.32	-1.34	-0.059999943
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.07618026	0.0	0.0	0.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.2626046	-2.02	-0.71	1.29
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.07465996	-1.3	0.08000004	1.17
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-1.1417838	-2.5000002	-1.17	-0.17000005
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.7381256	-2.8300002	-0.36000007	1.62
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.4075901	-1.44	-0.8000001	0.65999997
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	1.8105264	0.26	2.3899999	3.7399998
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	-0.043177146	-0.91999996	-0.20999998	1.3
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	strength	1.391367	1.0	1.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-14.794982	-16.758	-14.689001	-13.229
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	volume	492.79245	449.0	489.0	572.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.7530615	-5.5000005	-2.6000001	0.60000014
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	-0.828246	-4.8399997	0.089999944	1.4699998
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	1.584892	1.0	1.0	3.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.9284649	-2.9099996	-1.51	1.4200001
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.9458605	-2.46	-0.93	0.32999998
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	charge	0.16870503	0.0	0.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.010752538	-1.5	1.1300001	1.6500001
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.18313876	-1.5	-0.33999994	0.56000006
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.608903	-1.6999999	-1.0300002	0.75
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.5871245	-3.18	-1.6800001	0.44999996
col_ccp2_LN_bulk_top100.clonotypes.IGHM	.	cdr3-center-5	kf3	-0.27673498	-1.3000001	0.55999994	0.85
