sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.67	13.0	16.0	18.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.88	12.0	15.0	19.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	17.4	15.0	16.0	20.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.75	13.0	15.0	18.0
col_ccp2_LN_bulk_2_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	14.55	11.0	14.0	17.0
col_ccp2_LN_bulk_2_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.56	12.25	15.0	19.0
col_ccp2_LN_bulk_2_1_1_top100.clonotypes.IGH	.	cdr3-full	count	14.89	12.0	15.0	17.0
col_ccp2_LN_bulk_3_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.28	13.0	15.0	17.0
col_ccp2_LN_bulk_3_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.05	13.0	16.0	18.0
col_ccp2_LN_bulk_3_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.81	14.0	16.5	19.0
col_ccp2_LN_bulk_3_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.43	14.0	15.0	17.0
col_ccp2_LN_PCsort_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.0	14.0	16.0	18.0
col_ccp2_LN_PCsort_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.58	14.0	16.0	19.0
col_ccp2_LN_PCsort_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.09	14.0	16.0	18.0
col_ccp2_LN_PCsort_2_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	14.96	11.25	15.0	17.0
col_ccp2_LN_PCsort_2_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.11	12.0	14.0	18.0
col_ccp2_LN_PCsort_2_1_1_top100.clonotypes.IGH	.	cdr3-full	count	14.99	12.0	15.0	17.0
col_ccp2_LN_PCsort_2_1_1_top56.clonotypes.IGHM	.	cdr3-full	count	16.535715	15.0	16.0	19.0
col_ccp2_LN_PCsort_3_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.92	13.25	16.0	19.0
col_ccp2_LN_PCsort_3_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.1	13.0	15.0	19.0
col_ccp2_LN_PCsort_3_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.49	14.0	16.0	19.0
col_ccp2_LN_PCsort_3_1_1_top56.clonotypes.IGHM	.	cdr3-full	count	17.607143	15.0	17.0	19.75
col_ccp2_PBMC_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.1	12.0	15.0	17.0
col_ccp2_PBMC_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	15.56	13.0	15.0	18.75
col_ccp2_PBMC_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.31	14.0	16.0	18.0
col_ccp2_PBMC_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.15	12.0	15.0	17.0
col_ccp2_PBMC_bulk_1_1_2_top100.clonotypes.IGHA	.	cdr3-full	count	15.28	12.25	15.0	18.0
col_ccp2_PBMC_bulk_1_1_2_top100.clonotypes.IGHG	.	cdr3-full	count	16.03	13.0	15.0	19.0
col_ccp2_PBMC_bulk_1_1_2_top100.clonotypes.IGHM	.	cdr3-full	count	16.2	13.0	16.0	19.0
col_ccp2_PBMC_bulk_1_1_2_top100.clonotypes.IGH	.	cdr3-full	count	15.27	12.25	15.0	17.75
col_ccp2_PBMC_PCsort_1_1_2_top100.clonotypes.IGHA	.	cdr3-full	count	15.68	14.0	15.5	18.0
col_ccp2_PBMC_PCsort_1_1_2_top100.clonotypes.IGHG	.	cdr3-full	count	16.24	13.0	17.0	19.0
col_ccp2_PBMC_PCsort_1_1_2_top100.clonotypes.IGH	.	cdr3-full	count	15.58	14.0	15.0	18.0
col_ccp2_PBMC_PCsort_1_1_2_top56.clonotypes.IGHM	.	cdr3-full	count	16.214285	14.0	16.0	18.75
col_ccp2_tum_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.72	14.0	16.0	19.0
col_ccp2_tum_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.51	14.0	17.0	22.0
col_ccp2_tum_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.5	14.0	16.0	18.0
col_ccp2_tum_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.7	14.0	16.0	19.0
col_ccp2_tum_bulk_1_2_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.24	14.0	16.0	18.0
col_ccp2_tum_bulk_1_2_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.2	14.0	16.5	21.0
col_ccp2_tum_bulk_1_2_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.54	14.0	16.0	18.0
col_ccp2_tum_bulk_1_2_1_top100.clonotypes.IGH	.	cdr3-full	count	16.41	14.0	16.0	19.0
col_ccp2_tum_bulk_1_3_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.7	13.0	15.0	18.0
col_ccp2_tum_bulk_1_3_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.11	13.0	15.0	19.0
col_ccp2_tum_bulk_1_3_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.6	14.0	16.0	18.75
col_ccp2_tum_bulk_1_3_1_top100.clonotypes.IGH	.	cdr3-full	count	15.63	13.0	15.0	18.0
col_ccp2_tum_PCsort_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.71	14.0	16.0	19.0
col_ccp2_tum_PCsort_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.21	13.25	17.0	20.75
col_ccp2_tum_PCsort_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.9	14.25	16.0	19.0
col_ccp2_tum_PCsort_1_1_1_top56.clonotypes.IGHM	.	cdr3-full	count	16.303572	14.25	16.0	18.0
col_ccp2_tum_PCsort_1_2_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.7	14.0	16.5	19.0
col_ccp2_tum_PCsort_1_2_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.09	14.25	16.5	19.0
col_ccp2_tum_PCsort_1_2_1_top100.clonotypes.IGH	.	cdr3-full	count	16.6	14.0	16.0	18.0
col_ccp2_tum_PCsort_1_2_1_top56.clonotypes.IGHM	.	cdr3-full	count	16.535715	14.25	16.0	17.75
col_ccp2_tum_PCsort_1_3_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.45	14.0	16.0	18.0
col_ccp2_tum_PCsort_1_3_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.86	14.0	16.0	19.0
col_ccp2_tum_PCsort_1_3_1_top100.clonotypes.IGH	.	cdr3-full	count	16.99	14.0	16.0	19.0
col_ccp2_tum_PCsort_1_3_1_top56.clonotypes.IGHM	.	cdr3-full	count	17.375	15.0	17.0	19.75
col_ccp3_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.37	14.0	16.0	19.0
col_ccp3_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.84	14.0	16.5	20.0
col_ccp3_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.59	13.0	15.0	18.0
col_ccp3_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.12	14.0	16.0	18.75
col_ccp3_LN_bulk_2_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.87	15.0	17.0	19.0
col_ccp3_LN_bulk_2_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.23	14.25	17.0	20.0
col_ccp3_LN_bulk_2_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	16.02	13.0	15.0	19.0
col_ccp3_LN_bulk_2_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.14	13.0	16.5	18.0
col_ccp3_LN_bulk_3_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.58	15.0	17.0	18.0
col_ccp3_LN_bulk_3_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	17.4	15.0	17.0	19.75
col_ccp3_LN_bulk_3_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.65	14.0	15.0	18.0
col_ccp3_LN_bulk_3_1_1_top100.clonotypes.IGH	.	cdr3-full	count	16.3	14.0	16.0	19.0
col_ccp3_LN_PCsort_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.53	13.25	16.0	19.0
col_ccp3_LN_PCsort_1_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.47	14.0	16.0	18.0
col_ccp3_LN_PCsort_1_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.74	13.0	16.0	18.0
col_ccp3_LN_PCsort_2_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	16.74	14.0	16.0	19.0
col_ccp3_LN_PCsort_2_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.52	14.0	17.0	19.0
col_ccp3_LN_PCsort_2_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.82	14.0	16.0	18.0
col_ccp3_LN_PCsort_2_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.92	14.0	16.0	19.0
col_ccp3_LN_PCsort_3_1_1_top100.clonotypes.IGHM	.	cdr3-full	count	15.31	13.0	15.0	18.0
col_ccp3_LN_PCsort_3_1_1_top100.clonotypes.IGH	.	cdr3-full	count	15.32	14.0	15.0	17.0
col_ccp3_PBMC_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-full	count	15.83	14.0	15.5	18.0
col_ccp3_PBMC_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-full	count	16.13	13.25	16.0	18.75
