sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.15299997	-0.088000014	0.162	0.4255
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.27000004	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-2.9392471	-3.1847749	-2.9523	-2.7035499
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	96.98599	85.6	97.0	106.700005
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.6778	-1.37	-0.7	0.17499994
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.25868002	-0.12599999	0.24999999	0.617
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.32200006	0.2	0.3	0.6
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.36684006	-0.681	-0.29899997	-0.0055000023
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.19935997	-0.4045	-0.21699998	0.06449999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.06	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.105900005	-0.12599999	0.13100001	0.36049998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.07542	-0.184	0.03000002	0.319
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.24956001	-0.4055	-0.21600002	-0.022500003
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.3761801	-0.79550004	-0.39300004	-0.024000008
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.05765998	-0.20600002	0.051999997	0.3015
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.3983199	0.019999988	0.551	0.77900004
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.06115999	-0.1655	0.103999995	0.29000002
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.33400005	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.0472174	-3.2159	-2.9831	-2.8055248
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	99.55998	86.8	101.1	110.6
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.5452	-1.35	-0.73	0.12999994
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.26967996	-0.0935	0.24299997	0.6864999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.21200001	0.0	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.27493995	-0.6525	-0.29099995	0.1355
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.21005999	-0.45049998	-0.15200001	0.014000008
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	charge	-0.007999999	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.06949999	-0.44700003	-0.07899998	0.294
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.050080013	-0.271	-0.0050000045	0.15499997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.19311994	-0.43	-0.231	0.013499997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.26371995	-0.704	-0.24000001	0.06249999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.00612001	-0.28800002	-0.047000006	0.2685
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.42461997	0.03500002	0.50900006	0.809
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.112479985	-0.080500014	0.15799999	0.35
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	strength	0.33800012	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-3.0047348	-3.2332249	-2.942	-2.693275
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	volume	97.06602	85.25	96.3	107.5
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.4931999	-1.4350002	-0.71000004	0.175
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	0.22296	-0.17449999	0.24000001	0.612
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	0.17800003	0.0	0.2	0.6
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.34166	-0.691	-0.30699998	-0.040499985
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.17822006	-0.4135	-0.225	0.098000005
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	charge	-0.023999996	-0.15	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.18334	-0.4845	-0.13800001	0.162
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.053880006	-0.30900002	-0.048	0.1855
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.17465995	-0.36200002	-0.18400002	-0.001999998
