sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.47824982	-0.57000005	0.62	1.6574999
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	1.488	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-3.1382978	-7.1	-3.5500002	0.5
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	1.1124505	-0.6375	1.19	2.9499998
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-1.4819496	-3.01	-1.4899999	0.14500013
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-1.0059998	-2.11	-1.0799999	0.050000004
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.122	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	-0.23528998	-1.85	-0.069999814	1.455
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.09969006	-1.23	0.03500001	1.25
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-1.0473697	-2.1875	-1.08	-0.00999999
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-1.6067399	-3.5200002	-1.6300001	0.16
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.17486998	-1.1800001	0.21499997	1.5474999
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	2.0985408	0.34250003	2.355	4.07
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.64981204	-0.36000007	0.9599999	1.8599999
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	1.661442	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.3614419	-6.8	-3.0	0.99999976
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.8918497	-1.03	0.9899999	2.8799996
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.8136044	-3.3699996	-1.79	-0.3699999
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-1.0485579	-2.29	-1.11	0.1400001
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	0.012539185	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.73548573	-2.4	-0.47000003	0.9400001
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.14830731	-1.45	-0.30999994	0.9799999
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.93504685	-1.9100001	-1.02	0.060000062
