sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.10910429	-0.09599999	0.14000002	0.3625
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	0.29595998	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.6155904	-1.36	-0.74	0.17999998
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.23686859	-0.10600002	0.22799996	0.61399996
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-0.3071105	-0.62799996	-0.28799996	0.03599999
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-0.22020659	-0.444	-0.23400001	-0.009999996
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.03194106	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.006752024	-0.294	0.051999997	0.316
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.026858909	-0.22	0.012	0.246
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-0.22703217	-0.41	-0.21600004	-0.021999998
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-0.32478264	-0.71999997	-0.34	0.021999955
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.02966087	-0.23600002	0.04399998	0.278
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	0.38888544	-0.0019999861	0.46999997	0.79599994
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.10889963	-0.09599997	0.12799999	0.35
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	0.32636166	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.5651424	-1.4799999	-0.69000006	0.12000003
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.107161894	-0.3235	0.114	0.546
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.31954134	-0.6005	-0.342	0.008000016
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.17326492	-0.44599998	-0.20800002	0.106000006
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	-0.02693412	-0.2	0.0	0.0
