sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.5455229	-0.47999996	0.70000005	1.8125
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	1.4798709	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-3.0779703	-6.8	-3.6999998	0.89999986
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	1.1843468	-0.5300001	1.1399997	3.07
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-1.535551	-3.1399999	-1.4399998	0.17999995
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-1.1010268	-2.22	-1.1700001	-0.049999982
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.15970376	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.03375981	-1.47	0.26	1.58
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.13429494	-1.1	0.060000002	1.23
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-1.1351684	-2.05	-1.0800002	-0.10999999
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-1.6239009	-3.6	-1.7	0.109999776
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.1483046	-1.1800001	0.21999991	1.39
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	1.9444215	-0.009999931	2.35	3.9799998
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.54449815	-0.47999984	0.6399999	1.75
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	1.6318052	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.825719	-7.3999996	-3.4500003	0.60000014
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.53580827	-1.6175001	0.57	2.73
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.5977108	-3.0024998	-1.71	0.04000008
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.8663253	-2.23	-1.0400001	0.53000003
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	-0.13467048	-1.0	0.0	0.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.7262885	-2.3	-0.28999993	1.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.11404739	-1.5	-0.25000012	1.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-1.0730864	-2.0299997	-1.0699999	-0.16000009
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.5106026	-3.52	-1.3800001	0.44999996
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf3	0.07093117	-1.3500001	0.16500002	1.39
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf1	2.0027094	0.31250006	2.57	4.16
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf10	0.2813882	-0.97999984	0.42999995	1.53
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	strength	1.5880336	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.5255272	-6.6000004	-3.2000003	0.89999986
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf8	1.0976111	-0.45999992	1.0600001	3.1
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.3645502	-2.89	-1.5799999	0.50000006
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.2325857	-2.3999999	-1.245	-0.18250003
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	charge	0.067073174	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.37787887	-2.02	-0.38	1.27
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.10160225	-1.13	-0.00999999	0.8300002
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.9009247	-1.6899999	-0.88	0.01999998
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.5547872	-3.5499997	-1.7	0.14000005
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf3	0.11588228	-1.21	-0.21999997	1.4074999
col_ccp2_LN_bulk_1_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf1	1.8250732	-0.1400001	2.06	3.7399998
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf10	0.6786046	-0.45000008	0.86	1.9399998
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	strength	1.4183655	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.3245237	-6.8000007	-3.8	0.79999995
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf8	1.2627622	-0.55999994	1.1899998	3.09
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.61803	-3.21	-1.4299998	0.030000031
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.0580343	-2.1	-1.1099999	0.04000002
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	charge	0.23209277	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf7	0.27770433	-1.26	0.48000008	1.8599999
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf4	0.27015692	-1.0500001	0.07000005	1.37
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.2501988	-2.3999999	-1.14	-0.13
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.674329	-3.6	-1.76	-0.08000001
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf3	0.21440232	-1.0400001	0.255	1.4099998
col_ccp2_LN_bulk_1_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf1	1.9993062	0.17000005	2.46	4.07
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.47435164	-0.5224999	0.72	1.53
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	1.5400631	1.0	2.0	2.0
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-2.9866202	-6.7	-2.9	0.2
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.79794514	-0.94000006	0.6999999	2.53
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-1.6505916	-3.44	-1.5099998	-0.059999958
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-1.1595818	-2.07	-1.31	-0.12999997
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.26340693	0.0	0.0	1.0
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.25646138	-1.0799999	0.7100001	1.8824999
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.107378215	-0.93	0.07000005	1.25
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-1.2837262	-2.6725001	-1.1800001	-0.13999999
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-1.286408	-3.1000004	-1.1300001	0.32999992
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.2638748	-1.0100001	0.24999988	1.35
col_ccp2_LN_bulk_2_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	1.706319	0.22500004	1.75	3.6100001
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.4379294	-0.58	0.53	1.8199999
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	1.5732323	1.0	2.0	2.0
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.4742417	-6.8000007	-2.65	0.60000014
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.49714696	-1.78	0.68999994	2.925
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.2428792	-2.8899999	-1.51	0.36500004
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-1.2558583	-2.46	-1.285	-0.16
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	0.10858586	0.0	0.0	1.0
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.36866158	-1.69	0.09500009	1.3499999
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.20201997	-1.5	-0.33999994	0.92999995
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.75275284	-1.79	-0.945	0.48000002
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.579443	-3.245	-1.8950001	0.44999996
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf3	0.2079798	-1.0300001	0.57	1.4050001
col_ccp2_LN_bulk_2_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf1	2.1965656	0.6600001	2.57	4.255
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf10	0.23695685	-0.765	0.26999998	1.49
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	strength	1.5440313	1.0	2.0	2.0
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-3.6790597	-7.3	-3.8	-0.39999986
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf8	1.0986105	-0.5300001	1.0099999	3.1399999
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.3992755	-2.9225001	-1.095	0.19000006
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.9856064	-2.07	-0.9	0.10250002
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	charge	0.14285715	0.0	0.0	1.0
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.13627197	-1.6174998	-0.039999872	1.53
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf4	0.09059696	-1.13	0.15499997	1.1624999
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.89514774	-2.1999998	-1.025	0.095000006
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.0285909	-3.0425	-0.96000016	1.0975
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.034286223	-1.4	-0.080000006	1.205
col_ccp2_LN_bulk_2_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf1	1.9246781	0.3425	2.17	3.7399998
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf10	0.6007407	-0.42999995	1.03	1.49
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	strength	1.5356824	1.0	2.0	2.0
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-2.7144115	-6.4	-2.8	0.3000002
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf8	0.78330564	-1.0325	0.6949999	2.3799999
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.8140422	-3.74	-1.7099999	-0.22999978
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.2167364	-2.05	-1.5550001	-0.28000003
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	charge	0.29438	0.0	0.0	1.0
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf7	0.36774355	-0.81	0.83000004	1.96
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf4	0.13567722	-0.76	-0.035000026	1.28
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.4755951	-2.95	-1.28	-0.20999992
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.4232746	-3.15	-1.2	0.32999992
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf3	0.38773072	-0.74999994	0.26999998	1.41
col_ccp2_LN_bulk_2_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf1	1.6181384	-0.01999998	1.75	3.5900002
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.5558861	-0.46000004	0.73999995	1.8199999
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	1.456192	1.0	1.0	2.0
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-3.45224	-6.8	-3.8	0.5
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.87875473	-1.29	0.96000004	3.0499997
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-1.5456152	-3.0199997	-1.4299998	0.19000006
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-1.0402709	-2.25	-1.19	-0.060000002
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.13221043	0.0	0.0	1.0
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	-0.08403982	-1.5	-0.069999814	1.5600002
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.08240076	-1.3799999	-0.089999914	1.23
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-1.1778795	-2.13	-1.0800002	-0.21
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-1.4020456	-3.31	-1.3500001	0.050000012
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	-0.058323327	-1.44	-0.15	1.35
col_ccp2_LN_bulk_3_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	2.0236366	0.28999996	2.48	4.07
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.24080369	-0.47999984	0.51	1.41
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	1.4585134	1.0	1.0	2.0
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.8963199	-7.1000004	-3.5000002	0.60000014
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	-0.065353975	-3.48	0.23000002	2.12
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.7928915	-3.6499999	-2.1599998	-0.51750004
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.8859492	-2.2999997	-0.93	0.15999997
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	-0.1443388	-1.0	0.0	0.0
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.7598815	-2.6899998	-0.31999987	1.2500001
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	0.16556948	-1.5	-2.9802322E-8	1.3
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.91387933	-1.83	-1.12	0.06999999
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.7084814	-3.3200002	-1.4900001	0.050000012
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf3	0.010955949	-1.3000001	0.16999996	0.72
col_ccp2_LN_bulk_3_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf1	1.5998964	0.17000008	1.81	3.51
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf10	0.8073403	-0.15000007	1.1599998	2.04
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	strength	1.5869906	1.0	1.0	2.0
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-3.693047	-7.8999996	-4.2	0.5999999
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf8	0.5424527	-2.1499999	0.8900001	2.56
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.1697754	-3.2	-0.7299998	0.91999996
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.2909607	-2.32	-1.3799999	-0.059999943
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	charge	0.03820533	0.0	0.0	0.0
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.5519701	-2.3	-1.1199999	1.0500001
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf4	0.008417725	-1.54	0.109999925	1.25
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf5	-1.3481767	-2.5000002	-1.16	-0.21999998
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.8181005	-2.8300002	-0.53999996	1.3199999
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.36859855	-1.76	-0.4700001	0.95
col_ccp2_LN_bulk_3_1_top442.clonotypes.IGHG	.	cdr3-center-5	kf1	2.0125494	0.6100001	2.6299999	3.7399998
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf10	0.5243441	-0.5199998	0.66	1.72
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	strength	1.4164464	1.0	1.0	2.0
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.4251482	-6.0	-3.8	0.29999995
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf8	1.2149968	-1.19	1.0499998	3.3799999
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.6464819	-2.98	-1.4299998	-0.05000007
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.96858346	-1.9399999	-1.12	-0.16
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	charge	0.20727932	0.0	0.0	1.0
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf7	0.19403349	-1.14	0.36	1.8500001
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf4	0.09294394	-1.24	-0.34000003	1.18
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.1484789	-1.9200001	-1.08	-0.21999998
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.5834787	-3.34	-1.6800001	-0.19000006
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf3	0.077294365	-1.26	-0.100000024	1.35
col_ccp2_LN_bulk_3_1_top802.clonotypes.IGHA	.	cdr3-center-5	kf1	2.1179938	0.28999996	2.46	4.31
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf10	0.9366492	-0.04000008	0.73	2.17
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	strength	1.7281328	1.0	2.0	2.0
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-1.5251068	-6.2000003	-2.0000002	3.1
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf8	0.5673419	-1.78	0.56999993	2.38
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.4240934	-2.6599998	-1.23	-0.05000007
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.4581901	-2.94	-1.4599999	0.29999998
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	charge	0.10503958	0.0	0.0	1.0
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.071422964	-2.0399997	-0.039999872	1.94
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.47449878	-1.86	-0.55999994	0.77999985
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf5	-1.2081827	-2.5000002	-1.1899999	-0.19999993
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.5979495	-3.9300003	-1.4200001	-0.18000019
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf3	0.025292879	-1.9100001	-0.25	1.71
col_ccp2_LN_PCsort_1_1_top173.clonotypes.IGHG	.	cdr3-center-5	kf1	1.8643211	-0.099999905	2.35	3.9699998
col_ccp2_LN_PCsort_1_1_top259.clonotypes.IGHA	.	cdr3-center-5	kf10	0.5749283	-0.46000004	0.43000004	1.9399998
col_ccp2_LN_PCsort_1_1_top259.clonotypes.IGHA	.	cdr3-center-5	strength	1.2818165	1.0	1.0	2.0
