sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf10	0.10880394	-0.103499964	0.143	0.3315
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	strength	0.29399928	0.2	0.2	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.6351196	-1.3800001	-0.64	0.10000002
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf8	0.23073003	-0.113499984	0.23799996	0.59
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.3228261	-0.63949996	-0.32399997	-0.015999982
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.20682995	-0.4215	-0.219	-0.0069999946
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	charge	0.035800036	0.0	0.0	0.2
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf7	-0.008901983	-0.32050002	0.04000001	0.31750003
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf4	0.025706049	-0.224	0.006000015	0.246
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.22082785	-0.4435	-0.21400002	-0.012499997
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.32842004	-0.704	-0.32600003	0.006999977
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf3	0.043704003	-0.22800002	0.045999996	0.3095
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf1	0.4281543	0.09949999	0.46199998	0.81350005
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf10	0.09777394	-0.12349999	0.134	0.33349997
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	strength	0.3171992	0.2	0.4	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.5512801	-1.42	-0.64	0.15999997
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf8	0.22651398	-0.12799999	0.213	0.588
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.28732795	-0.592	-0.286	0.030499997
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.20815203	-0.42949998	-0.216	-9.999968E-4
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	charge	0.017399997	0.0	0.0	0.2
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.07592594	-0.42349997	-0.05399997	0.272
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf4	-7.05995E-4	-0.25	-0.0010000169	0.23750001
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.18956801	-0.402	-0.205	0.025999999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.30061772	-0.6865	-0.306	0.05949999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf3	0.054223996	-0.23699999	0.045999993	0.33999997
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf1	0.40531012	0.098000005	0.45700002	0.783
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf10	0.12366592	-0.0715	0.166	0.3595
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	strength	0.32519978	0.2	0.4	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.52816015	-1.3600001	-0.66	0.09999997
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf8	0.21062002	-0.19999999	0.22999996	0.618
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.35387003	-0.64149994	-0.342	-0.07
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.22365598	-0.43800002	-0.238	-0.021000003
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	charge	-0.007799995	-0.2	0.0	0.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.14444807	-0.49399996	-0.076000005	0.22000003
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.027459988	-0.26000002	-0.048	0.186
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.18581392	-0.372	-0.20199999	0.007499993
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf2	-0.3339539	-0.7055	-0.37300003	0.04399997
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf3	0.06703197	-0.20600002	0.062	0.338
