sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf10	0.5440199	-0.51749986	0.71500003	1.6575
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	strength	1.47	1.0	1.0	2.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.1755974	-6.9000006	-3.2	0.5000001
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf8	1.1536503	-0.56749994	1.1899998	2.9499998
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.6141292	-3.1974998	-1.6199999	-0.07999991
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.0341502	-2.1075	-1.095	-0.034999974
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	charge	0.179	0.0	0.0	1.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf7	-0.044509932	-1.6025	0.20000005	1.5875001
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf4	0.12852982	-1.12	0.030000076	1.23
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.1041399	-2.2175	-1.07	-0.062499985
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.6420984	-3.52	-1.6300001	0.034999885
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf3	0.21852002	-1.1400001	0.22999999	1.5474999
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf1	2.14077	0.49749994	2.31	4.0675
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf10	0.4888703	-0.61749995	0.67	1.6674999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	strength	1.586	1.0	2.0	2.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.7564003	-7.1	-3.2000003	0.79999983
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf8	1.1325701	-0.64	1.065	2.94
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.4366411	-2.96	-1.4300001	0.15249997
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.0407602	-2.1475	-1.08	-0.004999984
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	charge	0.087	0.0	0.0	1.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.37963024	-2.1174998	-0.26999986	1.3600001
