sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf10	0.12183431	-0.09200001	0.172	0.35999998
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	strength	0.29125673	0.2	0.2	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.63281125	-1.2800001	-0.64000005	0.07999999
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf8	0.21206278	-0.20199999	0.194	0.55999994
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.34204304	-0.672	-0.29599997	-0.015999997
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.22054216	-0.41	-0.25	-0.030000007
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	charge	0.053525236	0.0	0.0	0.2
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf7	0.06952087	-0.168	0.12200002	0.38000003
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf4	0.036107384	-0.19600001	-0.007999992	0.25800002
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.26629472	-0.504	-0.234	-0.041999985
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.3069921	-0.68399996	-0.27400002	-0.016000003
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf3	0.048406716	-0.20800002	0.048000015	0.27
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf1	0.37757137	0.041999985	0.406	0.81000006
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf10	0.089012474	-0.099999994	0.12399999	0.338
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	strength	0.31426013	0.2	0.4	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.6682298	-1.4200001	-0.76	0.11999998
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf8	0.18149495	-0.16599998	0.20199998	0.61399996
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.2619157	-0.59799993	-0.23599999	0.098000005
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.23136681	-0.464	-0.23400001	-0.009999978
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	charge	0.01654807	0.0	0.0	0.2
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.069264494	-0.422	-0.08400001	0.272
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf4	0.0017251493	-0.248	0.017999982	0.234
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.21193285	-0.47199997	-0.21199998	-0.0079999985
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.22242618	-0.62000006	-0.19999997	0.16
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.020826245	-0.28800002	-0.043999992	0.23799999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf1	0.38378742	0.051999997	0.47800002	0.74799997
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf10	0.081561856	-0.09599997	0.107999995	0.342
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	strength	0.311162	0.2	0.4	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.5311508	-1.3800001	-0.64	0.12000003
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf8	0.07478765	-0.408	0.12199998	0.52599996
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.2922959	-0.58599997	-0.32	0.020000016
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.2168325	-0.46800002	-0.23599999	0.024
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	charge	6.778088E-5	0.0	0.0	0.2
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.10689482	-0.45	-0.017999977	0.26999998
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.020560395	-0.3	-0.06400002	0.19399998
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.17105743	-0.366	-0.20600004	0.030000001
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf2	-0.31996202	-0.66400003	-0.34400004	0.078000024
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf3	0.025847994	-0.24199998	0.07000001	0.27599996
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf1	0.40671173	0.05999999	0.49400002	0.822
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.10277624	-0.09599997	0.142	0.34
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	strength	0.29805693	0.2	0.2	0.4
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.6472065	-1.32	-0.70000005	0.1
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.1781965	-0.21599999	0.18399993	0.55599993
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-0.31748626	-0.6539999	-0.29599997	0.026000014
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-0.2232368	-0.43	-0.25	-0.018000003
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.04272558	0.0	0.0	0.2
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.032679956	-0.25599998	0.07800002	0.33
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.024763932	-0.21200001	0.0059999945	0.25
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-0.2507802	-0.50000006	-0.23000002	-0.039999984
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-0.27202034	-0.65200007	-0.24000001	0.05999999
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.02090278	-0.24200001	0.026000002	0.27
col_ccp2_LN_bulk_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	0.36856234	0.039999988	0.412	0.76400006
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf10	0.14347564	-0.09200001	0.206	0.38799995
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	strength	0.2862621	0.2	0.2	0.4
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.69951034	-1.26	-0.76	0.06000004
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf8	0.23956804	-0.21599999	0.20999996	0.62
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.35039428	-0.7139999	-0.28599995	-0.015999982
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.2259116	-0.41	-0.25	-0.042000007
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	charge	0.06457882	0.0	0.0	0.2
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf7	0.11271858	-0.14199993	0.16000001	0.42600003
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf4	0.060505148	-0.176	-0.018000001	0.274
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.2881709	-0.51400006	-0.25599998	-0.094
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.28771618	-0.688	-0.23999998	0.021999955
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf3	0.066976376	-0.15900001	0.051999997	0.27
col_ccp2_LN_PCsort_top1000.clonotypes.IGHA	.	cdr3-center-5	kf1	0.4009751	0.032000016	0.496	0.862
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.12118186	-0.09200001	0.146	0.38799995
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	strength	0.29044014	0.2	0.2	0.4
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.6673879	-1.3199999	-0.76	0.15999994
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.2042782	-0.21599999	0.17799997	0.59
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-0.33707538	-0.684	-0.29599997	-0.015999982
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-0.22737567	-0.45999998	-0.25	-0.030000001
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.049017247	0.0	0.0	0.2
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.078129604	-0.21599999	0.142	0.39200002
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.04031883	-0.22399998	-0.003999996	0.248
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-0.2579994	-0.446	-0.224	-0.062
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-0.2950998	-0.704	-0.27000004	0.032000005
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.040075492	-0.20800002	0.048000015	0.27
col_ccp2_LN_PCsort_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	0.39288273	0.0079999985	0.48400003	0.85
col_ccp2_LN_PCsort_top368.clonotypes.IGHG	.	cdr3-center-5	kf10	0.081690215	-0.154	0.08999999	0.338
col_ccp2_LN_PCsort_top368.clonotypes.IGHG	.	cdr3-center-5	strength	0.31570032	0.2	0.4	0.4
col_ccp2_LN_PCsort_top368.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.45697442	-1.32	-0.50000006	0.22000006
col_ccp2_LN_PCsort_top368.clonotypes.IGHG	.	cdr3-center-5	kf8	0.17248628	-0.11400002	0.12799998	0.52400005
col_ccp2_LN_PCsort_top368.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.2934224	-0.5519999	-0.29599997	-0.011000004
col_ccp2_LN_PCsort_top368.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.2761899	-0.556	-0.292	-0.019999992
