sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.09402798	-0.11400001	0.124	0.332
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	0.30079913	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.60912037	-1.4000001	-0.67999995	0.1
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.2245481	-0.12799999	0.23799996	0.60599995
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-0.29954612	-0.6055	-0.302	0.025999999
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-0.20333001	-0.422	-0.216	0.009499998
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.023600012	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	-0.042923983	-0.359	-0.007999974	0.2935
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.015109994	-0.248	-0.0019999861	0.246
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-0.207776	-0.43600002	-0.211	0.0024999976
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-0.32220784	-0.70600003	-0.32600003	0.03149998
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.03906197	-0.23200002	0.04399998	0.32200003
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	0.4183181	0.06999999	0.476	0.814
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.13395615	-0.058000017	0.192	0.37199998
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	0.32915333	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.4975549	-1.36	-0.6	0.12000003
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.17447649	-0.204	0.19799998	0.57
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.36356747	-0.64199996	-0.35799998	-0.08999999
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.20548591	-0.458	-0.216	0.037999988
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	0.0031347966	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.14715362	-0.486	-0.09200001	0.18800002
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.02781191	-0.29000002	-0.05	0.19599998
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.18971783	-0.39000002	-0.204	-0.001999998
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf2	-0.34731665	-0.712	-0.384	0.04399997
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf3	0.07992476	-0.192	0.06399999	0.34
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf1	0.4487273	0.103999995	0.53199995	0.838
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf10	0.077379815	-0.15200001	0.120000005	0.31
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	strength	0.3195502	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.50773025	-1.4	-0.64000005	0.16999996
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf8	0.2111326	-0.13099998	0.22599998	0.581
