sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.4701399	-0.57000005	0.62	1.66
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	1.504	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-3.045598	-7.0000005	-3.4	0.5
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	1.12274	-0.64	1.1899998	3.0299995
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-1.4977293	-3.0275	-1.5099998	0.13
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-1.0166501	-2.11	-1.08	0.047499992
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.118	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	-0.21461989	-1.795	-0.039999872	1.4675
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.07554998	-1.24	-0.009999931	1.23
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-1.0388798	-2.18	-1.055	0.012499988
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-1.6110399	-3.5300002	-1.6300001	0.15749988
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.19531003	-1.1600001	0.21999991	1.6100001
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	2.0915906	0.34999996	2.38	4.07
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.66978073	-0.29000008	0.96000004	1.8599999
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	1.645768	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.4877741	-6.8	-3.0	0.60000014
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.8723824	-1.02	0.9899999	2.85
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.8178366	-3.2099998	-1.79	-0.44999993
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-1.0274287	-2.29	-1.08	0.18999994
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	0.015673982	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.7357678	-2.43	-0.46000004	0.9400001
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.13905957	-1.45	-0.25	0.9799999
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.9485894	-1.95	-1.02	-0.00999999
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.7365828	-3.56	-1.9200001	0.21999985
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf3	0.39962366	-0.96000004	0.31999993	1.7
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf1	2.243637	0.52	2.6599998	4.19
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf10	0.38689876	-0.76000005	0.6	1.5500001
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	strength	1.5977528	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.5386539	-7.0	-3.2000003	0.8499998
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf8	1.0556624	-0.6549999	1.1299999	2.905
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.3088322	-2.9	-1.3799999	0.30000007
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.1094832	-2.255	-1.1600001	-0.049999937
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	charge	0.07191011	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.30339324	-2.065	-0.2300001	1.4000001
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.049303334	-1.425	-1.1920929E-7	1.0899999
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf5	-1.0175058	-2.195	-1.13	0.060000002
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.5000229	-3.3200002	-1.53	0.23999992
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf3	0.26952803	-1.205	0.26	1.71
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf1	1.9519767	0.19000006	2.31	3.9850001
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf10	0.554094	-0.51	0.71000004	1.75
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	strength	1.4094293	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.3849862	-7.0000005	-3.6499999	0.4999996
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf8	1.1434608	-0.56999993	1.2099999	3.0825
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.5682496	-3.115	-1.53	0.04000008
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.9904962	-2.05	-0.96000004	0.039999988
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	charge	0.17866005	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf7	-0.0757195	-1.5625	0.18000005	1.59
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf4	0.23218349	-1.06	0.12999997	1.3725001
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.1432133	-2.29	-1.0899999	-0.03749999
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.6752722	-3.59	-1.695	0.07999992
