sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.10843428	-0.09599999	0.14199999	0.364
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	0.29708388	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.60962266	-1.36	-0.72	0.17999998
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.23724492	-0.10600002	0.22799996	0.616
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-0.30742216	-0.62799996	-0.29599994	0.032000013
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-0.22052683	-0.444	-0.23400004	-0.009999996
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.031448323	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.00759256	-0.294	0.056000005	0.316
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.025339587	-0.22399998	0.006000012	0.246
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-0.22633788	-0.41	-0.21600004	-0.020000009
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-0.32478794	-0.71999997	-0.34	0.021999955
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.031035107	-0.23600002	0.044000007	0.278
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	0.38828924	-0.0019999861	0.46999997	0.79399997
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.110342994	-0.09599997	0.132	0.35
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	0.32548538	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.5740408	-1.4799999	-0.68	0.12000003
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.10502792	-0.324	0.114	0.538
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.32007024	-0.58599997	-0.342	-0.002000001
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.17138536	-0.44599995	-0.20800002	0.108
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	-0.026417825	-0.2	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.1445959	-0.45999998	-0.057999987	0.20199999
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.023144258	-0.3	-0.050000023	0.2
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.21517296	-0.40599996	-0.21199998	-0.032000016
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf2	-0.30046293	-0.704	-0.27600002	0.08999999
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf3	0.011774712	-0.278	0.03399999	0.277
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf1	0.4050596	0.09000001	0.514	0.83199996
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf10	0.05665431	-0.19599997	0.08599999	0.306
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	strength	0.31831306	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.49544618	-1.32	-0.64000005	0.17999998
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf8	0.2203308	-0.091999985	0.21200001	0.62
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.27027547	-0.578	-0.308	0.10000001
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.24842288	-0.486	-0.25	-0.038
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	charge	0.012335352	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.07672622	-0.40399998	-0.08599993	0.254
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.021256505	-0.226	-0.001999998	0.16600001
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.18243192	-0.344	-0.18599999	-0.003999993
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.31284562	-0.7099999	-0.34	0.028000008
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf3	0.022677539	-0.24200001	-0.043999992	0.278
col_ccp2_LN_bulk_1_1_1_top445.clonotypes.IGHG	.	cdr3-center-5	kf1	0.35908145	-0.028000021	0.412	0.746
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf10	0.13622022	-0.09000002	0.172	0.38799995
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	strength	0.28376764	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.66580164	-1.3600001	-0.76	0.16
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf8	0.2527491	-0.11199999	0.23799996	0.618
col_ccp2_LN_bulk_1_1_1_top806.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.32299116	-0.64199996	-0.28599995	0.008000001
