sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.54217166	-0.47999996	0.71	1.8199999
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	1.4854939	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-3.048146	-6.8	-3.6000001	0.89999986
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	1.1862195	-0.5300001	1.1399997	3.08
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-1.5371127	-3.1399999	-1.4799998	0.16000007
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-1.1026267	-2.22	-1.1700002	-0.049999982
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.15724033	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	0.037962347	-1.47	0.28000003	1.58
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.1266996	-1.1199999	0.03000006	1.23
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-1.1317006	-2.05	-1.0800002	-0.100000046
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-1.6239341	-3.6	-1.7	0.109999776
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.1551755	-1.1800001	0.22000003	1.39
col_ccp2_LN_bulk_1_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	1.9414419	-0.009999931	2.35	3.9699998
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.55171555	-0.47999984	0.66	1.75
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	1.6274228	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.8702092	-7.3999996	-3.4	0.60000014
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.52513963	-1.62	0.57	2.6899998
col_ccp2_LN_bulk_1_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.600356	-2.9299998	-1.71	-0.010000005
