1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_LN_bulk_1_1_2_top10.clonotypes.IGHM	10	10	8	8	376	672	354	626	1.0	1.0000000000000002	0.9414893617021278	0.9315476190476191	0.7372284504624335	0.6428571428571428	0.08	0.9365052980374856	0.9255900977361617	0.15140968756954307	0.07957264003417058	0.1514230795416728	0.01551808378233757	0.6666666667	0.9581388082163712	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_LN_bulk_2_1_1_top10.clonotypes.IGHM	10	10	5	5	376	289	283	191	1.0	1.0	0.7526595744680852	0.6608996539792388	0.9335686267636009	0.9	0.05	0.7052889140842344	0.704303544435232	0.35250845154099336	0.18122930099899592	0.39516835470247347	0.12431237828200517	0.3333333333	0.986170816164375	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_LN_bulk_2_1_2_top10.clonotypes.IGHM	10	10	3	3	376	284	169	106	1.0	1.0	0.44946808510638303	0.37323943661971826	-0.9997186400882174	-1.0	0.03	0.4095841975267722	0.3958960641520466	0.4253740296618193	0.21461684786069238	0.5078887888166237	0.31794264828444835	0.1764705882	0.8631697929817275	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_LN_bulk_3_1_1_top10.clonotypes.IGHM	10	10	2	2	376	237	144	87	1.0	1.0	0.3829787234042553	0.3670886075949367	0.0	0.0	0.02	0.3749494983500505	0.3716339645905258	0.629862238041061	0.34586546106876476	0.6298622380410609	0.29921829780799164	0.1111111111	0.9654676107039069	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_LN_bulk_3_1_2_top10.clonotypes.IGHM	10	10	2	2	376	107	144	36	1.0	1.0	0.3829787234042553	0.3364485981308411	0.0	0.0	0.02	0.35896051956071834	0.3588819711626659	0.6091118685550384	0.3104542174675168	0.641485583490374	0.27543227735767684	0.1111111111	0.9912914608358074	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_PBMC_bulk_1_1_1_top10.clonotypes.IGHM	10	10	0	0	376	160	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7517553660344364	0.3969292595430475	0.7517553660344366	0.6429614891529768	0.0	NaN	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_PBMC_bulk_1_1_2_top10.clonotypes.IGHM	10	10	0	0	376	113	0	0	1.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7375654296380598	0.4611613478308119	0.8017256056703732	0.8467891547131656	0.0	NaN	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_PBMC_bulk_2_1_1_top10.clonotypes.IGHM	10	10	0	0	376	50	0	0	1.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6885807963257237	0.39761916758294935	0.8608690445310802	0.5477653702428352	0.0	NaN	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_tum_bulk_1_2_2_top10.clonotypes.IGHM	10	8	0	0	376	29	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.5385047127916006	1.0	0.40548848595727593	0.0	NaN	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_tum_bulk_1_3_1_top10.clonotypes.IGHM	10	10	0	0	376	422	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9322710200586554	0.47752162433574596	1.0000000000000002	0.2805410385564696	0.0	NaN	.	.
col_ccp6_LN_bulk_1_1_1_top10.clonotypes.IGHM	col_ccp6_tum_bulk_1_3_2_top10.clonotypes.IGHM	10	10	0	0	376	255	0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5480323231437849	1.0000000000000002	0.3185310743504003	0.0	NaN	.	.
