1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	495	495	100	100	8050	4331	4388	2419	1.0000000000000029	0.9999999999999897	0.5450931677018632	0.5585315169706767	0.8769058213341576	0.31079508783742743	4.081216E-4	0.5517714326121579	0.4552631426751823	0.25117870558830624	0.12920038604633519	0.33761968222801914	0.041676114986783065	0.1123595506	0.8643063091822673	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	495	495	53	53	8050	7481	3248	2686	1.0000000000000029	0.9999999999999972	0.4034782608695653	0.35904290870204514	0.9239605887146942	0.5847665473241763	2.163045E-4	0.380612675013131	0.33447238304293586	0.21614599475352395	0.11424019000966376	0.33867162006864215	0.03142488188024711	0.0565635005	0.9210125102134176	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_2_2_top495.clonotypes.IGHM	495	495	54	54	8050	9054	3260	3543	1.0000000000000029	0.999999999999992	0.40496894409937895	0.39131875414181594	0.928395323547939	0.5254978354127262	2.203857E-4	0.39808534596377154	0.3537320054117861	0.21822324066133608	0.11586256099651639	0.3205832164669428	0.04504673716167756	0.0576923077	0.9317124242822751	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_3_1_top495.clonotypes.IGHM	495	495	55	55	8050	4108	3749	1551	1.0000000000000029	1.000000000000003	0.46571428571428564	0.37755598831548187	0.8876116623562779	0.25755029512907734	2.244669E-4	0.4193247159606691	0.3466772798646226	0.25479728677103747	0.1341467540321615	0.3693988569847625	0.04400251173413351	0.0588235294	0.8965054275666446	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_3_2_top495.clonotypes.IGHM	495	495	64	64	8050	6540	3754	2822	1.0000000000000029	0.9999999999999936	0.46633540372670806	0.43149847094801186	0.8664181541029371	0.230935772409506	2.611978E-4	0.44857888231279713	0.3470590092896276	0.18713860582093594	0.09993837430516123	0.313754363194086	0.03714138300948658	0.0691144708	0.878101341511628	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_4_1_top495.clonotypes.IGHM	495	495	38	38	8050	7548	2721	1945	1.0000000000000029	0.9999999999999931	0.3380124223602486	0.2576841547429783	0.8371537282386153	0.3098863016039166	1.550862E-4	0.2951278457694686	0.24205023377421073	0.2736870583657334	0.14458609178247686	0.45582924962959387	0.03549517720687246	0.0399159664	0.7294029564287517	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_4_2_top495.clonotypes.IGHM	495	495	32	32	8050	6307	2757	1976	1.0000000000000029	1.0000000000000115	0.3424844720496895	0.31330267956239094	0.850416085372602	0.2705175538407042	1.305989E-4	0.3275687756818078	0.2591216699569252	0.28381636656554293	0.14717476763576517	0.4154483179370208	0.014153343542835808	0.0334029228	0.8522285389322081	.	.
mel_mp7_LN_bulk_1_1_1_top495.clonotypes.IGHM	mel_mp7_PBMC_bulk_1_1_2_top495.clonotypes.IGHM	495	495	1	1	8050	2744	3	4	1.0000000000000029	1.000000000000017	3.7267080745341616E-4	0.0014577259475218659	0.0	0.0	4.0812E-6	7.370562433822603E-4	7.370562433822603E-4	0.25578770466126627	0.14066900650211142	0.3978012969005834	0.053579529366240164	0.0010111223	0.4799366330337219	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	495	495	52	52	4331	7481	1714	2915	0.9999999999999897	0.9999999999999972	0.39575155853151717	0.38965378960032065	0.9672470280079836	0.5582142299833626	2.122232E-4	0.39269083834746993	0.3580925390391853	0.08947580762587569	0.05245572528449047	0.2088183445508066	0.03486029795946016	0.0554371002	0.9635504378132875	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_2_2_top495.clonotypes.IGHM	495	495	52	52	4331	9054	1906	3447	0.9999999999999897	0.999999999999992	0.44008312168090524	0.3807157057654075	0.9599420661374992	0.4234451823620193	2.122232E-4	0.4093245121736414	0.36481992457629026	0.08279915137065948	0.04403880479007123	0.1931993965037989	0.03441844758777624	0.0554371002	0.9467219948820595	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_3_1_top495.clonotypes.IGHM	495	495	52	52	4331	4108	1752	1510	0.9999999999999897	1.000000000000003	0.40452551373816686	0.3675754625121713	0.9712432121963903	0.4828726457452929	2.122232E-4	0.3856081596780343	0.35275296896967784	0.066511134008424	0.03834320768014796	0.19684193766519845	0.03140199007059188	0.0554371002	0.9535659069980668	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_3_2_top495.clonotypes.IGHM	495	495	52	52	4331	6540	1747	2980	0.9999999999999897	0.9999999999999936	0.4033710459478182	0.45565749235473973	0.9326601912970426	0.16309847913915193	2.122232E-4	0.4287179017548618	0.3555052694795543	0.0958543215327572	0.053183253235420516	0.2189540514974933	0.03293734950040608	0.0554371002	0.9211278473430754	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_4_1_top495.clonotypes.IGHM	495	495	32	32	4331	7548	1566	1957	0.9999999999999897	0.9999999999999931	0.361579311937197	0.2592739798622151	0.8601413599133095	0.2662927754953182	1.305989E-4	0.3061831269710962	0.24873675461705808	0.1554405896242563	0.08768363528746953	0.30396495458328604	0.0686093548532689	0.0334029228	0.6312420167605242	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_4_2_top495.clonotypes.IGHM	495	495	26	26	4331	6307	1467	1856	0.9999999999999897	1.0000000000000115	0.3387208496882938	0.29427620104645635	0.8984795317161844	0.2597839115843497	1.061116E-4	0.31571741298429973	0.25738215625600547	0.16131706280427638	0.08533309899479663	0.2760412259437681	0.040990149587433806	0.0269709544	0.8153377775694185	.	.
mel_mp7_LN_bulk_1_1_2_top495.clonotypes.IGHM	mel_mp7_PBMC_bulk_1_1_2_top495.clonotypes.IGHM	495	495	1	1	4331	2744	14	4	0.9999999999999897	1.000000000000017	0.0032325098129762178	0.0014577259475218659	0.0	0.0	4.0812E-6	0.0021707402953818514	0.0021707402953818514	0.23627408565923097	0.1287335942132025	0.3846833200305892	0.10941036601038455	0.0010111223	0.7494960578048022	.	.
mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_2_2_top495.clonotypes.IGHM	495	495	110	110	7481	9054	3962	4962	0.9999999999999972	0.999999999999992	0.5296083411308645	0.5480450629555997	0.9672357016874124	0.5991878641478929	4.489338E-4	0.5387478414405718	0.4986454007906489	0.04932177353465927	0.030341680685885098	0.12006012652764272	0.03410971936028768	0.125	0.9681234675944659	.	.
mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_3_1_top495.clonotypes.IGHM	495	495	51	51	7481	4108	2682	1422	0.9999999999999972	1.000000000000003	0.35850822082609274	0.346153846153846	0.9809996373780712	0.64798593259818	2.08142E-4	0.35227687905499044	0.3325716833240277	0.10261564734421286	0.054920652769600994	0.2212943748667803	0.04360423508847723	0.054313099	0.9783662963084422	.	.
mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_3_2_top495.clonotypes.IGHM	495	495	55	55	7481	6540	2655	2759	0.9999999999999972	0.9999999999999936	0.354899077663414	0.42186544342507615	0.9541412933678851	0.26952528270301446	2.244669E-4	0.3869362438046179	0.33624508190460295	0.09891555536700633	0.05455886510368984	0.21980871925772774	0.03232701813480173	0.0588235294	0.9532085857679659	.	.
mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_4_1_top495.clonotypes.IGHM	495	495	45	45	7481	7548	2782	2516	0.9999999999999972	0.9999999999999931	0.371875417724903	0.33333333333333304	0.8205354268762987	0.43353366103377755	1.836547E-4	0.3520773673142986	0.29485476657597426	0.11312607347374828	0.06590581806470965	0.2614081375962634	0.05548178619050008	0.0476190476	0.6850397150589375	.	.
mel_mp7_LN_bulk_1_2_1_top495.clonotypes.IGHM	mel_mp7_LN_bulk_1_4_2_top495.clonotypes.IGHM	495	495	41	41	7481	6307	2564	2003	0.9999999999999972	1.0000000000000115	0.34273492848549647	0.3175836372284763	0.9448278882058422	0.43208006448529956	1.673299E-4	0.3299196950678539	0.2931822622375332	0.11424675376292344	0.060903208499300115	0.2545055704869337	0.03991847476144206	0.043203372	0.8887629731310266	.	.
