1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	50	50	14	14	304	5700	142	3373	0.9999999999999993	0.9999999999999998	0.4671052631578948	0.5917543859649124	0.7980006057058934	0.6518652925430507	0.0056	0.5257485978877916	0.5064836116483258	0.17562381012327366	0.09095723220459571	0.31061394171152945	0.07934127506166645	0.1627906977	0.8766802073059026	.	.
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	50	50	2	2	304	512	6	15	0.9999999999999993	1.0	0.019736842105263157	0.029296875	0.0	0.0	8.0E-4	0.024046367626995798	0.02398260377248538	0.36517083167262804	0.21102669752763678	0.5908744033456906	0.2062942895189848	0.0204081633	0.9041280009151094	.	.
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	50	50	3	3	304	8450	8	332	0.9999999999999993	0.9999999999999997	0.02631578947368421	0.03928994082840237	-0.23128651015928148	0.0	0.0012	0.032155027775975356	0.03155342797120884	0.37932519498495326	0.2190685322769911	0.5651924915739494	0.250681306472785	0.0309278351	0.8712546279621544	.	.
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	50	50	4	4	304	41642	26	2334	0.9999999999999993	1.0	0.08552631578947367	0.05604918111522021	-0.24713964436716637	-0.7378647873726218	0.0016	0.06923640634667377	0.06555206296637008	0.412120774094502	0.22578154159170022	0.6017440784253404	0.18788451872078535	0.0416666667	0.7661749635651969	.	.
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	50	50	2	2	304	12084	10	496	0.9999999999999993	1.0	0.03289473684210526	0.04104601125455147	0.0	0.0	8.0E-4	0.036745036925230616	0.036212337497673185	0.4809870078537223	0.2616679764085426	0.6708429085915473	0.17766524341917483	0.0204081633	0.9141493049171163	.	.
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	50	50	1	1	304	11650	9	296	0.9999999999999993	1.0000000000000004	0.029605263157894735	0.02540772532188841	0.0	0.0	4.0E-4	0.027426308435478736	0.027426308435478736	0.5434022190651555	0.29437439505350443	0.7015773800476673	0.08569873598079752	0.0101010101	0.9884237550917168	.	.
mel_mp8_LN_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	0	0	304	7239	0	0	0.9999999999999993	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41197552348873595	0.23726022982157927	0.6345696126288465	0.15395704996291035	0.0	NaN	.	.
mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	50	50	1	1	5700	512	59	7	0.9999999999999998	1.0	0.010350877192982456	0.013671875	0.0	0.0	4.0E-4	0.011896045524576938	0.011896045524576938	0.3113445853357895	0.17762846351334788	0.5637935449818081	0.13149804134863693	0.0101010101	0.962494064123558	.	.
mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	50	50	0	0	5700	8450	0	0	0.9999999999999998	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40764537809677365	0.2282661437081477	0.5807423517492583	0.18016327701615897	0.0	NaN	.	.
mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	50	50	2	2	5700	41642	282	1659	0.9999999999999998	1.0	0.049473684210526316	0.03983958503434033	0.0	0.0	8.0E-4	0.04439607019846874	0.04379955279345473	0.36670193877342516	0.19541695045964047	0.5532375053137599	0.15272185757518106	0.0204081633	0.9280987584808122	.	.
mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	50	50	1	1	5700	12084	239	376	0.9999999999999998	1.0	0.04192982456140351	0.031115524660708375	0.0	0.0	4.0E-4	0.03612019504597846	0.03612019504597846	0.39972505796946933	0.2156900225355251	0.5782147185128761	0.1639564459068036	0.0101010101	0.957103150713386	.	.
mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	50	50	1	1	5700	11650	61	296	0.9999999999999998	1.0000000000000004	0.010701754385964912	0.02540772532188841	0.0	0.0	4.0E-4	0.016489609937803594	0.016489609937803594	0.41993743220310575	0.22785807810866943	0.6315580167285051	0.17476488344588953	0.0101010101	0.7154699951364877	.	.
mel_mp8_LN_bulk_1_1_2_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	0	0	5700	7239	0	0	0.9999999999999998	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37732018784247046	0.20595565658027093	0.6501595743336142	0.21033268469887526	0.0	NaN	.	.
mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	50	50	18	18	512	8450	340	5778	1.0	0.9999999999999997	0.6640625	0.6837869822485206	0.7550165518590174	0.78629537224078	0.0072	0.6738525750484361	0.6510208445997205	0.16709504029801536	0.08627445143702342	0.26490260058225656	0.04262412804235896	0.2195121951	0.8744829340526264	.	.
mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	50	50	10	10	512	41642	257	16143	1.0	1.0	0.501953125	0.3876614956053984	0.7896024783233145	0.6036585365853658	0.004	0.44112118421280055	0.40512514812565725	0.26083510206581595	0.14998155182852108	0.4021310539327974	0.07470044235945895	0.1111111111	0.8605532154227585	.	.
mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	50	50	10	10	512	12084	273	5481	1.0	1.0	0.533203125	0.4535749751737835	0.7856270970171317	0.30909090909090925	0.004	0.4917800262154399	0.43650981935572675	0.23954507343892156	0.13721820922966013	0.3802514106546815	0.08027348631619263	0.1111111111	0.8076450311221199	.	.
mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	50	50	0	0	512	11650	0	0	1.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39906770034798944	0.22437454483692826	0.5837587103217833	0.18618108055579066	0.0	NaN	.	.
mel_mp8_LN_bulk_1_2_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	1	1	512	7239	6	125	1.0	0.9999999999999999	0.01171875	0.017267578394805912	0.0	0.0	4.0E-4	0.01422513389441842	0.01422513389441842	0.34994739423212173	0.19096525491727348	0.6621087079475455	0.1432100977559659	0.0101010101	0.9293005461867866	.	.
mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	50	50	8	8	8450	41642	4103	13974	0.9999999999999997	1.0	0.48556213017751476	0.3355746601988377	0.22293275323679232	0.407192929050508	0.0032	0.40366117826680253	0.33695406148728446	0.28290028042623877	0.16059802885011515	0.43151592153839324	0.12195687602353865	0.0869565217	0.563631119458317	.	.
mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	50	50	11	11	8450	12084	4488	5053	0.9999999999999997	1.0	0.5311242603550296	0.4181562396557431	0.3037047591299556	0.6090909090909091	0.0044	0.471267358831478	0.38369883642444347	0.3276739166166127	0.1805659250278995	0.4640357727696631	0.14369871472233242	0.1235955056	0.5122538575093815	.	.
mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	50	50	0	0	8450	11650	0	0	0.9999999999999997	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4391839136283171	0.24440023459564886	0.6348170788752577	0.20011420824173914	0.0	NaN	.	.
mel_mp8_LN_bulk_1_2_2_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	1	1	8450	7239	209	125	0.9999999999999997	0.9999999999999999	0.024733727810650887	0.017267578394805912	0.0	0.0	4.0E-4	0.020666194230341623	0.020666194230341623	0.341264587524196	0.18887089487600917	0.6159220380967096	0.14354395665840045	0.0101010101	0.9387385863271639	.	.
mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	50	50	30	30	41642	12084	33237	10112	1.0	1.0	0.7981605110225254	0.8368090036411785	0.9817011366253281	0.8206497552291946	0.012	0.817256325747616	0.8066747383169577	0.063230401123093	0.033048291289699966	0.11909894436395281	0.023545597884305144	0.4285714286	0.9598776971797146	.	.
mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	50	50	0	0	41642	11650	0	0	1.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2778234629535326	0.14981349738668467	0.487315570123191	0.1884753127984523	0.0	NaN	.	.
mel_mp8_LN_bulk_1_3_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	0	0	41642	7239	0	0	1.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28463226507503175	0.15182716828058812	0.5839304410083078	0.16373979335620284	0.0	NaN	.	.
mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	50	50	0	0	12084	11650	0	0	1.0	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3072804063844301	0.16492525507699313	0.48003732178605246	0.16014625449424338	0.0	NaN	.	.
mel_mp8_LN_bulk_1_3_2_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	0	0	12084	7239	0	0	1.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32992418724922906	0.17991165400479556	0.6055309678987211	0.16462295110675373	0.0	NaN	.	.
mel_mp8_PBMC_bulk_1_1_1_top50.clonotypes.IGHA	mel_mp8_PBMC_bulk_1_1_2_top50.clonotypes.IGHA	50	50	4	4	11650	7239	1564	1253	1.0000000000000004	0.9999999999999999	0.13424892703862662	0.1730902058295345	0.8831544616057335	0.8	0.0016	0.15243744426324538	0.15057115671952936	0.22840679160484867	0.12995500027318482	0.3395373218524255	0.07158845663363239	0.0416666667	0.9384660240914381	.	.
