1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
mel_mp3_LN_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_PBMC_bulk_1_1_top132.clonotypes.IGHA	132	132	0	0	3267	29419	0	0	1.0000000000000004	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4012473227751591	0.21739262508281593	0.5785232559213055	0.09885128927468537	0.0	NaN	.	.
mel_mp3_LN_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_1_top132.clonotypes.IGHA	132	132	13	13	3267	2382	686	1180	1.0000000000000004	1.0000000000000004	0.20997857361493721	0.49538203190596136	-0.10929742732195392	0.1600013698154505	7.460973E-4	0.3225207163177012	0.21202618483822167	0.36702430858535134	0.2041508703909427	0.5579586210813267	0.18424598814579443	0.0517928287	0.13786461025165161	.	.
mel_mp3_LN_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_2_top132.clonotypes.IGHA	132	132	16	16	3267	659	848	255	1.0000000000000004	0.9999999999999978	0.25956535047444135	0.38694992412746576	-0.031953161652065534	0.09282279638448457	9.182736E-4	0.31692079873716733	0.2130014890805456	0.31546909134435314	0.18885767716340338	0.5028032504797567	0.08415553029771197	0.064516129	0.26606814605152396	.	.
mel_mp3_LN_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_3_top132.clonotypes.IGHA	132	132	17	17	3267	1209	1114	440	1.0000000000000004	1.0	0.34098561371288644	0.3639371381306866	0.36758455153866426	0.3249236306395584	9.756657E-4	0.35227450716508524	0.29253029611105397	0.29152881908764583	0.1620760872658714	0.46028705762878036	0.07133947405353773	0.0688259109	0.611750468719684	.	.
mel_mp3_PBMC_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_1_top132.clonotypes.IGHA	132	132	4	4	29419	2382	1395	50	0.9999999999999997	1.0000000000000004	0.04741833508956797	0.02099076406381192	-0.4385387377620524	-0.316227766016838	2.295684E-4	0.03154912176533437	0.025175472657877406	0.47485730326011694	0.24312047000233544	0.6880566302738035	0.11639737471213225	0.0153846154	0.3436060465926905	.	.
mel_mp3_PBMC_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_2_top132.clonotypes.IGHA	132	132	4	4	29419	659	1417	10	0.9999999999999997	0.9999999999999978	0.0481661511268228	0.015174506828528073	-0.35520793148698626	0.0	2.295684E-4	0.027035117702312445	0.025249002285592882	0.42983667262146585	0.2265453714149892	0.5780928105200188	0.07730011276334295	0.0153846154	0.3896836387481151	.	.
mel_mp3_PBMC_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_3_top132.clonotypes.IGHA	132	132	3	3	29419	1209	682	9	0.9999999999999997	1.0	0.023182297154899896	0.007444168734491315	0.0	0.0	1.721763E-4	0.013136701704544895	0.012922663833138838	0.32601288821851104	0.20287439520216702	0.6259238648567386	0.10406012947441956	0.0114942529	0.5180618206981232	.	.
mel_mp3_tum_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_2_top132.clonotypes.IGHA	132	132	34	34	2382	659	1594	375	1.0000000000000004	0.9999999999999978	0.6691855583543243	0.5690440060698025	0.9216908792987355	0.7482076720558085	0.0019513315	0.617086728855841	0.5871250168082038	0.10413778504294409	0.06006138620770499	0.24943938514773367	0.04413683891940617	0.147826087	0.827127079099027	.	.
mel_mp3_tum_bulk_1_1_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_3_top132.clonotypes.IGHA	132	132	32	32	2382	1209	1352	570	1.0000000000000004	1.0	0.5675902602854744	0.47146401985111663	0.2837315733569226	0.7554548945721251	0.0018365473	0.5172991259827638	0.41964195328237125	0.24098018878871477	0.15571311200061916	0.4177757215934855	0.15703336043711677	0.1379310345	0.3322663771223913	.	.
mel_mp3_tum_bulk_1_2_top132.clonotypes.IGHA	mel_mp3_tum_bulk_1_3_top132.clonotypes.IGHA	132	132	34	34	659	1209	338	502	0.9999999999999978	1.0	0.5128983308042487	0.41521918941273783	0.5367825818557549	0.4604689868924344	0.0019513315	0.4614815588598167	0.4175062352779791	0.18433394929920774	0.1273876630333611	0.3515276549898873	0.07829313543341995	0.147826087	0.6040475533031737	.	.
