1_sample_id	2_sample_id	div1	div2	div12	div21	count1	count2	count12	count21	freq1	freq2	freq12	freq21	R	Rs	D	F	F2	vJSD	vjJSD	vj2JSD	sJSD	Jaccard	MorisitaHorn	1_metadata_blank	2_metadata_blank
mel_mp3_LN_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_PBMC_bulk_1_1_top262.clonotypes.IGHG	262	262	4	4	11162	27839	653	1366	1.0000000000000004	1.0	0.058502060562623186	0.049067854448794856	0.9890850281159798	0.2000000000000001	5.82717E-5	0.05357770611589653	0.05276741808180384	0.3339901200896875	0.17726863258311068	0.5391630670541112	0.1397037717621008	0.0076923077	0.985040729959659	.	.
mel_mp3_LN_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_1_top262.clonotypes.IGHG	262	262	116	116	11162	19892	6913	16105	1.0000000000000004	1.0	0.6193334527862393	0.809621958576312	0.15083077544287693	0.2994035438092618	0.0016898782	0.7081143714518333	0.5048516285824598	0.16002426500843378	0.10405264166585071	0.26277573406317783	0.11353237902512794	0.2843137255	0.29955562310289335	.	.
mel_mp3_LN_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_2_top262.clonotypes.IGHG	262	262	113	113	11162	9317	7719	8062	1.0000000000000004	0.9999999999999997	0.6915427342770114	0.8652999892669317	0.04303138906308377	0.20982798381482773	0.0016461745	0.7735579619831487	0.4716451263773533	0.21758276600525134	0.12859747192485196	0.3083307049844632	0.16683946295700294	0.2749391727	0.1828107383436392	.	.
mel_mp3_LN_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_3_top262.clonotypes.IGHG	262	262	121	121	11162	12891	7535	10180	1.0000000000000004	1.000000000000001	0.6750582332915253	0.7896982390815299	0.10004124955856085	0.3664432485341629	0.0017627178	0.7301316991528352	0.5146720720797774	0.18703312335721364	0.1044971337112822	0.27079461580877	0.06764992180320396	0.300248139	0.24612874541047122	.	.
mel_mp3_PBMC_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_1_top262.clonotypes.IGHG	262	262	3	3	27839	19892	378	402	1.0	1.0	0.01357807392506915	0.020209129298210338	-0.9099635197246686	-0.5	4.37037E-5	0.016565055133393937	0.009947356364322337	0.45140869018269153	0.2382322973798586	0.6253933400617784	0.1579875061040401	0.0057581574	0.20506438993121034	.	.
mel_mp3_PBMC_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_2_top262.clonotypes.IGHG	262	262	4	4	27839	9317	1460	91	1.0	0.9999999999999997	0.052444412514817344	0.009767092411720512	-0.4772147142931044	-0.8	5.82717E-5	0.02263248602143858	0.010686453159959357	0.48477607102960685	0.26027876582290027	0.6570074767788404	0.18097680726778656	0.0076923077	0.03838165867234598	.	.
mel_mp3_PBMC_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_3_top262.clonotypes.IGHG	262	262	4	4	27839	12891	1460	158	1.0	1.000000000000001	0.052444412514817344	0.01225661314095105	-0.44652503152794903	-0.39999999999999997	5.82717E-5	0.02535332080021408	0.014803304445642807	0.41599032102960365	0.21096665218318322	0.6348388249345348	0.15169042766742244	0.0076923077	0.07515156511300979	.	.
mel_mp3_tum_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_2_top262.clonotypes.IGHG	262	262	150	150	19892	9317	18238	8796	1.0	0.9999999999999997	0.9168509953750251	0.9440807126757539	0.6332898308369499	0.7106909245214328	0.0021851873	0.9303662403221261	0.8078054280605547	0.0661842522174951	0.03675918688697816	0.10184070960286472	0.04330058662093979	0.4010695187	0.6649770325508451	.	.
mel_mp3_tum_bulk_1_1_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_3_top262.clonotypes.IGHG	262	262	133	133	19892	12891	16910	10381	1.0	1.000000000000001	0.8500904886386488	0.8052905127608413	0.36016772600586455	0.6621004250993054	0.0019375328	0.827387337036851	0.6590740929183323	0.12171791672023072	0.0676139058917298	0.1754061310849601	0.07367853481267145	0.3401534527	0.4669843694524619	.	.
mel_mp3_tum_bulk_1_2_top262.clonotypes.IGHG	mel_mp3_tum_bulk_1_3_top262.clonotypes.IGHG	262	262	137	137	9317	12891	8418	11202	0.9999999999999997	1.000000000000001	0.9035097134270687	0.8689783569932514	0.33169135384801257	0.550169644821998	0.0019958044	0.8860758355249835	0.6750749419275645	0.16127464902995237	0.09068259295258699	0.2100489460337339	0.10868200734305075	0.354005168	0.4182847766018	.	.
