sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.76500016	-0.44000006	0.81	2.1275
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	1.35	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-14.696234	-15.923874	-14.761499	-13.51775
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	484.93	428.0	485.0	533.5
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.3890002	-6.8500004	-3.5	0.8749997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	1.2933999	-0.63	1.25	3.0849998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	1.61	1.0	1.5	3.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.8341992	-3.405	-1.4949999	-0.027500011
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.9968002	-2.0225	-1.0849999	0.32249996
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.3	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.5295001	-0.62999994	0.6550001	1.8025
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.3771	-0.92	0.1500001	1.595
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.2478001	-2.0275002	-1.0800002	-0.11250001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.8809003	-3.9775002	-1.9650002	-0.120000035
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.28829995	-1.0300001	0.26	1.5074999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	1.9916004	0.09999994	2.7549999	3.8950002
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.30580002	-0.8275	0.52	1.45
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	1.67	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-15.236089	-16.0795	-14.915499	-14.027625
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	497.8	434.0	505.5	553.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.7260003	-6.75	-3.65	0.6499997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	1.3484001	-0.4675	1.2149999	3.4324994
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	1.06	0.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.3746997	-3.2624998	-1.4549999	0.6775
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.0503	-2.2525	-0.76	0.07000004
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	charge	-0.04	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.34750003	-2.2350001	-0.39499992	1.47
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.25039998	-1.355	-0.02500002	0.77499986
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.96559983	-2.15	-1.155	0.06749998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.3186	-3.52	-1.2	0.31249994
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.030600052	-1.44	-0.23500001	1.3425
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	2.1231005	0.1750001	2.545	4.045
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.5624	-0.4025001	0.78999996	1.75
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	strength	1.69	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-15.023676	-16.166124	-14.709999	-13.466375
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	volume	485.33	426.25	481.5	537.5
