sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf10	0.6091649	-0.46000004	0.86	1.8
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	strength	1.4562622	1.0	1.0	2.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.164176	-6.4000006	-3.2000003	0.39999995
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf8	1.060335	-1.01	0.97	2.8
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.7101725	-3.36	-1.4799999	-0.07999998
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.1026738	-2.05	-1.25	-0.15000004
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	charge	0.26762614	0.0	0.0	1.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf7	0.34758824	-0.84	0.61000013	1.9000001
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf4	0.18053676	-0.98	-0.03999996	1.2900001
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.3314581	-2.52	-1.17	-0.20999992
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.5349557	-3.4199998	-1.3700001	-0.08000001
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf3	0.24203923	-1.0400001	0.24000007	1.35
col_ccp2_LN_bulk_top1000.clonotypes.IGHA	.	cdr3-center-5	kf1	1.8878278	0.20999992	2.03	4.05
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf10	0.44506168	-0.49999997	0.61999995	1.6899999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	strength	1.5714169	1.0	2.0	2.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-3.3411899	-7.1000004	-3.8	0.5999999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf8	0.9074753	-0.8299999	1.0099999	3.0699997
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.3095704	-2.9899998	-1.18	0.49
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.156813	-2.32	-1.1700001	-0.049999893
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	charge	0.082740575	0.0	0.0	1.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.34631673	-2.11	-0.42000005	1.36
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf4	0.008625723	-1.24	0.089999914	1.17
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf5	-1.059679	-2.36	-1.06	-0.03999999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.1121238	-3.1000004	-0.9999999	0.79999995
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.10411912	-1.44	-0.21999997	1.1899999
col_ccp2_LN_bulk_top1000.clonotypes.IGHG	.	cdr3-center-5	kf1	1.9189559	0.26	2.39	3.7399998
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf10	0.40780973	-0.47999984	0.53999996	1.71
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	strength	1.555819	1.0	2.0	2.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-2.655735	-6.9000006	-3.2	0.60000014
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf8	0.37394238	-2.04	0.6099999	2.6299999
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.4614841	-2.9299998	-1.6	0.10000008
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf6	-1.0841647	-2.3400002	-1.18	0.120000005
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	charge	3.388108E-4	0.0	0.0	1.0
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.5344765	-2.25	-0.089999884	1.3499999
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.1028024	-1.5	-0.32000008	0.9699999
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.85528356	-1.83	-1.0300002	0.15
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.5998061	-3.3200002	-1.7200003	0.3900001
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf3	0.12924077	-1.2099999	0.35000002	1.3799999
col_ccp2_LN_bulk_top1000.clonotypes.IGHM	.	cdr3-center-5	kf1	2.0335531	0.29999995	2.47	4.11
