sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.17170274	-0.072	0.25	0.412
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.28607073	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-2.9784863	-3.2159	-2.9798	-2.7529998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	98.530266	87.8	98.2	106.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.6721449	-1.2800001	-0.76	0.17999998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.2871745	-0.113999985	0.22799996	0.66199994
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.29545057	0.2	0.2	0.6
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.34302497	-0.684	-0.28599995	0.001999998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.21595861	-0.43	-0.25	0.073999986
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.058575936	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.1579606	-0.058000017	0.16000001	0.468
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.06456161	-0.21000001	0.014000011	0.30200002
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.28210002	-0.48000002	-0.23599999	-0.068
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.3243454	-0.75600004	-0.36000004	0.021999955
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.052394524	-0.20000002	0.051999997	0.27
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.38068944	-0.020000005	0.54399997	0.814
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.04045682	-0.25799996	0.082	0.29
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.3196378	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.0457602	-3.211	-2.9852	-2.8442998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	98.13915	85.2	94.6	107.8
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.47335878	-1.3199999	-0.66	0.17999998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.24014166	-0.06800003	0.21200001	0.676
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.18564294	0.0	0.2	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.27546483	-0.578	-0.36999997	0.14600001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.26419136	-0.556	-0.256	-0.038
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.002414249	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.08809774	-0.4175	-0.15600002	0.206
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.038297802	-0.21199998	-0.001999998	0.12799999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.17156062	-0.31599998	-0.152	-0.015999997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.326899	-0.76400006	-0.34	0.028000008
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.015397091	-0.24200001	-0.09400002	0.264
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.32957727	-0.13800001	0.402	0.732
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.08879951	-0.09599997	0.089999996	0.30200002
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	strength	0.3231307	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-2.9856913	-3.2389998	-2.942	-2.6655998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	volume	98.97492	86.8	99.2	110.2
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.6181734	-1.5400001	-0.78000003	0.12000003
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	0.087352194	-0.364	0.07800002	0.554
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	0.23392607	0.0	0.2	0.6
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.29956818	-0.586	-0.31599998	0.020000016
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.14193593	-0.43400002	-0.20199999	0.138
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	charge	-0.049584854	-0.2	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.14770113	-0.45999998	-0.053999998	0.27400002
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.028192095	-0.3	-0.050000023	0.19399998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.22302285	-0.40599996	-0.20600004	-0.048
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf2	-0.2812427	-0.6980001	-0.19000007	0.08999999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf3	-0.03987174	-0.30600005	-0.008000001	0.26
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf1	0.38111988	0.056000017	0.514	0.83199996
