sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf10	0.09564998	-0.11400001	0.124	0.33149996
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	strength	0.29759935	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	hydropathy	-0.6276605	-1.42	-0.71000004	0.1
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf8	0.22249012	-0.1275	0.238	0.59
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf9	-0.29639012	-0.602	-0.29799998	0.029000027
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf6	-0.20120007	-0.422	-0.21599999	0.010000001
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	charge	0.024400018	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf7	-0.047057953	-0.37	-0.013999963	0.291
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf4	0.019937973	-0.246	0.007000002	0.25
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf5	-0.20947395	-0.43750003	-0.216	-0.001999998
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf2	-0.32134768	-0.70400006	-0.32600003	0.031999998
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf3	0.03497397	-0.23600002	0.042999994	0.3095
col_ccp2_LN_bulk_1_1_top1000.clonotypes.IGH	.	cdr3-center-5	kf1	0.41970807	0.0685	0.47100002	0.814
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf10	0.1299624	-0.07200001	0.19199999	0.37199998
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	strength	0.3322882	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.47228828	-1.36	-0.6	0.19999996
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf8	0.17836991	-0.206	0.19799998	0.5759999
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.36272106	-0.6739999	-0.35799998	-0.07399998
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.20971158	-0.458	-0.222	0.028000021
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	charge	0.0025078373	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.14709719	-0.48000002	-0.094000004	0.18800002
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.029661441	-0.29000002	-0.061999988	0.19599998
col_ccp2_LN_bulk_1_1_top319.clonotypes.IGHM	.	cdr3-center-5	kf5	-0.18700933	-0.38200003	-0.204	0.012000012
