sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.1748347	-0.067999996	0.25	0.412
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	0.29084012	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-2.988493	-3.2159	-2.9798	-2.7571998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	98.76559	87.8	98.2	106.8
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-0.6470031	-1.28	-0.76	0.17999998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	0.28289914	-0.113999985	0.22799996	0.66199994
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	0.28435034	0.2	0.2	0.6
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-0.3393572	-0.684	-0.28599995	0.001999998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-0.22321834	-0.43	-0.25	0.035999995
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.058532197	0.0	0.0	0.2
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.16286145	-0.058000017	0.16000001	0.492
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.060651038	-0.1905	0.014000011	0.3
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-0.27673417	-0.48000002	-0.23000002	-0.03399997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-0.32042414	-0.732	-0.352	0.021999955
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.05863159	-0.20000002	0.051999997	0.27
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	0.3698457	-0.034	0.518	0.78200006
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.041953754	-0.25799996	0.082	0.29
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	0.31960046	0.2	0.2	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-3.0448117	-3.211	-2.9852	-2.846025
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	98.16243	85.2	94.899994	107.8
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-0.4796299	-1.3199999	-0.66	0.17999998
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	0.23994967	-0.06800003	0.21200001	0.676
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.18769942	0.0	0.2	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-0.27748764	-0.58599997	-0.37999997	0.14600001
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-0.2657145	-0.556	-0.26999998	-0.038
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.0038681203	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.08763657	-0.40399998	-0.16799998	0.206
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.03725605	-0.21200001	-0.001999998	0.12799999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.17228425	-0.31599998	-0.152	-0.015999997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-0.32551384	-0.76400006	-0.34	0.028000008
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.016159097	-0.24200001	-0.09400002	0.264
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	0.33120745	-0.13800001	0.402	0.732
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.0852625	-0.09599997	0.089999996	0.30200002
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	strength	0.31631112	0.2	0.4	0.4
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	count	1.0	1.0	1.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-2.9751887	-3.2389998	-2.9404998	-2.6654
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	volume	98.901764	86.6	98.6	110.2
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-0.6500238	-1.6600001	-0.78000003	0.12000003
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	0.07544431	-0.41799998	0.065999985	0.554
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	0.24988146	0.0	0.2	0.6
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-0.2818416	-0.57799995	-0.298	0.03800001
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.14795734	-0.43800002	-0.20500001	0.138
