sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.6451	-0.44499993	0.99999994	1.8349999
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	strength	1.48	1.0	2.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-14.985477	-16.120377	-15.026	-14.0405
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	volume	498.4	448.5	499.0	545.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.183	-6.875	-3.8	0.8749999
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	1.1670998	-0.9075	0.98	3.0399997
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	1.3	0.0	1.0	3.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.7725	-3.6049998	-1.4849999	0.0025000274
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.0489999	-2.05	-1.22	-0.10249996
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.36	0.0	0.0	1.0
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.46420002	-0.5925	0.74000007	1.945
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.29539996	-1.0575001	-0.049999997	1.5500001
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.4153001	-2.8775	-1.175	-0.21499994
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.4537997	-3.3249998	-1.335	0.10249981
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.45820007	-0.855	0.26	1.7275
col_ccp2_LN_bulk_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	1.7467004	-0.09749999	1.985	4.005
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.19980006	-0.7775	0.44999993	1.465
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	strength	1.69	1.0	2.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-15.392692	-16.265875	-15.249749	-14.043625
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	volume	510.15	447.0	513.0	565.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.6649995	-6.9	-3.2500002	0.8999999
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	1.2364999	-0.36499998	1.1949999	3.1
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.89	0.0	1.0	2.0
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.5105995	-3.6675	-1.4549999	0.49
col_ccp2_LN_bulk_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.1749998	-2.2225	-1.1300001	-0.16
