sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.8585108	-0.35999998	1.25	2.06
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	1.4303488	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-14.892663	-16.0795	-14.899	-13.764999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	492.65225	439.0	491.0	532.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.3607357	-6.4000006	-3.8	0.89999986
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	1.4358412	-0.56999993	1.1399997	3.3099997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	1.4772588	1.0	1.0	3.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.7151142	-3.42	-1.4299998	0.00999999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.0797936	-2.15	-1.25	0.36999995
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.2928819	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.7897913	-0.29000008	0.8000001	2.34
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.3228096	-1.0500001	0.07000005	1.5100001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.4105093	-2.4	-1.18	-0.34
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.621712	-3.7800002	-1.8000002	0.109999776
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.26196977	-1.0000001	0.26	1.35
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	1.9034753	-0.100000024	2.7199998	4.07
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.20228331	-1.2899998	0.41	1.4499999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	1.5981575	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-15.228751	-16.055	-14.926	-14.221499
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	490.69757	426.0	473.0	539.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.3668132	-6.5999994	-3.3000002	0.89999986
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf8	1.2007141	-0.34000015	1.0600001	3.3799999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	disorder	0.9282084	0.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf9	-1.3773283	-2.89	-1.8499999	0.7300001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf6	-1.3209683	-2.78	-1.2800001	-0.19
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	charge	0.012071156	0.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf7	-0.44048595	-2.0874999	-0.7800001	1.03
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf4	-0.19149034	-1.06	-0.00999999	0.6399999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf5	-0.8577974	-1.5799999	-0.76	-0.07999998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf2	-1.6345092	-3.8200002	-1.7	0.14000005
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf3	-0.07698514	-1.21	-0.4700001	1.3199999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf1	1.6478677	-0.69000006	2.01	3.6599998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf10	0.44399756	-0.47999984	0.45	1.5100001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	strength	1.6156584	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	mjenergy	-14.928423	-16.195	-14.709999	-13.327999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	volume	494.87427	434.0	496.0	551.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	hydropathy	-3.09087	-7.7000003	-3.9	0.60000014
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf8	0.43676117	-1.8199999	0.39000008	2.77
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	disorder	1.1696323	0.0	1.0	3.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf9	-1.4978424	-2.93	-1.5799999	0.10000008
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf6	-0.7096801	-2.17	-1.01	0.69
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	charge	-0.24792407	-1.0	0.0	0.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf7	-0.73850554	-2.3	-0.26999998	1.3700001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf4	-0.14096113	-1.5	-0.25000012	0.9699999
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf5	-1.1151122	-2.0299997	-1.0300002	-0.24000001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf2	-1.4062148	-3.4900002	-0.95000035	0.44999996
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf3	-0.19935977	-1.5300002	-0.040000007	1.3
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGHM	.	cdr3-center-5	kf1	1.9056017	0.2800001	2.57	4.16
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf10	0.6575745	-0.46000004	0.79999995	1.94
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	strength	1.4930345	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	mjenergy	-15.082227	-16.0795	-14.926	-14.002
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	volume	494.1659	434.0	487.0	538.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	hydropathy	-2.8590477	-6.5999994	-3.8	0.89999986
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf8	1.2786264	-0.41000003	1.0499998	3.2899997
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	disorder	1.2020817	0.0	1.0	2.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf9	-1.4959232	-3.03	-1.4299998	0.23999998
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf6	-1.2246014	-2.46	-1.25	-0.099999964
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	charge	0.193755	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf7	0.403185	-1.2200001	0.7	1.6500001
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf4	0.18927814	-1.03	-2.9802322E-8	1.25
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf5	-1.2215178	-1.6600001	-1.08	-0.44000006
col_ccp2_LN_bulk_1_1_1_top100.clonotypes.IGH	.	cdr3-center-5	kf2	-1.6105798	-3.7800002	-1.76	0.109999776
