sample_id	metadata_blank	region	property	mean	q25	median	q75
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf10	0.799	-0.42	0.825	2.15
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	strength	1.4	1.0	1.0	2.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	mjenergy	-14.798353	-16.021124	-14.781	-13.696875
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	volume	487.93	429.25	488.0	537.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	hydropathy	-3.1509998	-6.675	-3.1000001	0.89999986
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf8	1.2353	-0.63	1.1999998	3.0399997
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	disorder	1.49	0.0	1.0	3.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf9	-1.7686993	-3.355	-1.43	-0.027500011
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf6	-1.0582001	-2.0725	-1.135	0.32249996
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	charge	0.3	0.0	0.0	1.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf7	0.55970013	-0.62999994	0.6550001	1.8025
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf4	0.34200004	-0.92	0.1500001	1.5075
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf5	-1.2080001	-2.0275002	-1.0550001	-0.05999995
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf2	-1.8187003	-3.815	-1.94	-0.120000035
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf3	0.35339987	-1.0300001	0.26	1.6899999
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHA	.	cdr3-center-5	kf1	1.8719999	-0.08249998	2.565	3.7125
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	kf10	0.32150012	-0.8225	0.5350001	1.45
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	strength	1.67	1.0	2.0	2.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	count	5.0	5.0	5.0	5.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	mjenergy	-15.224383	-16.0795	-14.915499	-13.962375
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	volume	498.26	434.0	503.0	553.0
col_ccp2_LN_bulk_1_1_top100.clonotypes.IGHG	.	cdr3-center-5	hydropathy	-2.8130007	-6.875	-3.65	0.6499997
